Unnamed: 0,userID,stime,etime,lon,lat,duration,grid,context_fuzzy,context_precise
0,9,2008-10-24 10:15:36,2008-10-24 10:50:11,116.300397,40.050295,2075.0,14436,,
1032,9,2008-10-24 11:19:30,2008-10-25 04:46:06,116.336757,39.999259,62796.0,14997,,
1384,9,2008-10-25 04:46:14,2008-10-27 00:22:58,116.343978,39.998116,157004.0,15186,,
3990,9,2008-10-27 00:26:35,2008-10-27 12:07:17,116.331356,39.998033,42042.0,14997,"User 9 will move from grid 14997 to grid 14996, arriving around in the next month.","User 9 will move from grid 14997 to grid 14996, at 2008-12-06 11:54:52."
4908,9,2008-10-27 12:11:17,2008-10-28 00:22:48,116.336764,39.999431,43891.0,14997,"User 9 will move from grid 14997 to grid 15371, arriving around in about 4 days, on 2008-11-01.","User 9 will move from grid 14997 to grid 15371, at 2008-11-01 03:50:16."
5213,9,2008-10-28 00:27:36,2008-10-28 11:01:56,116.331414,39.998012,38060.0,14997,,
5930,9,2008-10-28 11:09:17,2008-10-29 00:21:53,116.336775,39.999259,47556.0,14997,,
6390,9,2008-10-29 00:26:11,2008-10-29 04:06:42,116.331398,39.998026,13231.0,14997,"User 9 will move from grid 14997 to grid 14808, arriving around in the next month.","User 9 will move from grid 14997 to grid 14808, at 2008-12-11 00:36:10."
6595,9,2008-10-29 04:06:42,2008-10-29 04:39:35,116.324901,39.993478,1973.0,14807,,
6598,9,2008-10-29 04:39:35,2008-10-29 10:53:58,116.327956,39.993733,22463.0,14807,,
6877,9,2008-10-29 11:00:56,2008-10-30 00:18:46,116.336791,39.99927,47870.0,14997,"User 9 will move from grid 14997 to grid 15370, arriving around in about 2 days, on 2008-11-01.","User 9 will move from grid 14997 to grid 15370, at 2008-11-01 05:45:21."
7447,9,2008-10-30 00:22:37,2008-10-30 11:11:19,116.331456,39.998041,38922.0,14997,"User 9 will move from grid 14997 to grid 15371, arriving around in about 1 days, on 2008-11-01.","User 9 will move from grid 14997 to grid 15371, at 2008-11-01 04:27:20."
8167,9,2008-10-30 11:13:44,2008-10-31 10:47:54,116.336777,39.999254,84850.0,14997,,
9033,9,2008-10-31 10:59:02,2008-11-01 03:16:59,116.336771,39.999531,58677.0,14997,"User 9 will move from grid 14997 to grid 14996, arriving around in about 4 days, on 2008-11-05.","User 9 will move from grid 14997 to grid 14996, at 2008-11-05 04:29:23."
10443,9,2008-11-01 03:50:16,2008-11-01 04:27:12,116.360303,39.960149,2216.0,15371,,
10929,9,2008-11-01 04:27:20,2008-11-01 05:41:32,116.360306,39.960225,4452.0,15371,,
11538,9,2008-11-01 05:45:21,2008-11-01 07:17:19,116.352058,39.953108,5518.0,15370,"User 9 will move from grid 15370 to grid 15371, at 2008-11-01 07:17:20.","User 9 will move from grid 15370 to grid 15371, at 2008-11-01 07:17:20."
12217,9,2008-11-01 07:17:20,2008-11-01 09:12:20,116.358681,39.962025,6900.0,15371,,
13200,9,2008-11-01 09:48:56,2008-11-02 11:16:50,116.346604,39.998115,91674.0,15186,,
14584,9,2008-11-02 11:19:41,2008-11-02 12:44:59,116.331444,39.998045,5118.0,14997,"User 9 will move from grid 14997 to grid 14996, arriving around in about 5 days, on 2008-11-08.","User 9 will move from grid 14997 to grid 14996, at 2008-11-08 09:31:17."
15245,9,2008-11-02 12:47:27,2008-11-03 00:24:22,116.336784,39.999096,41815.0,14997,,
15800,9,2008-11-03 00:27:41,2008-11-03 10:38:17,116.331337,39.998024,36636.0,14997,"User 9 will move from grid 14997 to grid 13475, at 2008-11-16 03:44:19.","User 9 will move from grid 14997 to grid 13475, at 2008-11-16 03:44:19."
16112,9,2008-11-03 10:41:03,2008-11-04 00:22:14,116.336802,39.9993,49271.0,14997,,
18636,9,2008-11-04 00:25:45,2008-11-04 10:07:35,116.331428,39.998021,34910.0,14997,,
20085,9,2008-11-04 10:12:28,2008-11-04 11:00:19,116.336755,39.999248,2871.0,14997,,
20695,9,2008-11-04 11:10:56,2008-11-04 14:20:57,116.336769,39.999906,11401.0,14997,"User 9 will move from grid 14997 to grid 14996, at 2008-11-08 10:34:51.","User 9 will move from grid 14997 to grid 14996, at 2008-11-08 10:34:51."
21581,9,2008-11-04 14:31:51,2008-11-05 00:21:25,116.336757,39.999273,35374.0,14997,,
22059,9,2008-11-05 00:24:53,2008-11-05 04:07:09,116.331311,39.998035,13336.0,14997,,
22712,9,2008-11-05 04:29:23,2008-11-05 10:01:51,116.32906,39.993055,19948.0,14996,,
23283,9,2008-11-05 10:04:09,2008-11-06 11:15:06,116.336758,39.999306,90657.0,14997,,
23815,9,2008-11-06 11:19:39,2008-11-07 00:17:41,116.336796,39.999489,46682.0,14997,,
24555,9,2008-11-07 00:19:50,2008-11-07 10:15:05,116.33137,39.998001,35715.0,14997,,
25357,9,2008-11-07 10:18:05,2008-11-08 08:23:15,116.336806,39.999299,79510.0,14997,,
26224,9,2008-11-08 08:25:36,2008-11-08 09:31:10,116.333699,39.998005,3934.0,14997,,
26384,9,2008-11-08 09:31:17,2008-11-08 10:34:48,116.333084,39.991278,3811.0,14996,,
27024,9,2008-11-08 10:34:51,2008-11-08 11:47:58,116.329648,39.991143,4387.0,14996,"User 9 will move from grid 14996 to grid 14808, arriving around in about 4 weeks, specifically next Friday.","User 9 will move from grid 14996 to grid 14808, at 2008-12-05 05:56:16."
27597,9,2008-11-08 12:06:26,2008-11-09 06:29:10,116.336821,39.999238,66164.0,14997,"User 9 will move from grid 14997 to grid 15187, arriving around in about 1 days, on 2008-11-10.","User 9 will move from grid 14997 to grid 15187, at 2008-11-10 11:16:58."
29723,9,2008-11-09 06:47:36,2008-11-09 08:26:59,116.320848,39.98902,5963.0,14807,"User 9 will move from grid 14807 to grid 14808, at 2008-11-12 01:34:37.","User 9 will move from grid 14807 to grid 14808, at 2008-11-12 01:34:37."
29866,9,2008-11-09 08:26:59,2008-11-09 11:27:34,116.326206,39.991239,10835.0,14807,"User 9 will move from grid 14807 to grid 13475, at 2008-11-16 04:46:20.","User 9 will move from grid 14807 to grid 13475, at 2008-11-16 04:46:20."
31149,9,2008-11-09 11:32:24,2008-11-10 00:22:55,116.336786,39.999233,46231.0,14997,,
31697,9,2008-11-10 00:25:48,2008-11-10 10:42:38,116.331447,39.998022,37010.0,14997,,
32606,9,2008-11-10 10:45:08,2008-11-10 11:16:46,116.336793,39.999484,1898.0,14997,,
33092,9,2008-11-10 11:16:58,2008-11-12 00:22:55,116.342225,40.004835,133557.0,15187,,
36314,9,2008-11-12 00:25:40,2008-11-12 01:33:25,116.331415,39.998032,4065.0,14997,,
37186,9,2008-11-12 01:34:37,2008-11-12 11:21:22,116.32786,39.995783,35205.0,14808,,
37646,9,2008-11-12 11:24:16,2008-11-13 00:24:16,116.336768,39.998948,46800.0,14997,,
39488,9,2008-11-13 00:26:15,2008-11-13 04:21:46,116.331404,39.998045,14131.0,14997,"User 9 will move from grid 14997 to grid 15179, at 2008-11-16 02:41:26.","User 9 will move from grid 14997 to grid 15179, at 2008-11-16 02:41:26."
39954,9,2008-11-13 04:21:51,2008-11-13 10:08:34,116.336684,39.999109,20803.0,14997,,
40130,9,2008-11-13 10:16:28,2008-11-14 00:24:46,116.336773,39.999354,50898.0,14997,,
41753,9,2008-11-14 00:27:12,2008-11-14 09:59:39,116.331472,39.998015,34347.0,14997,,
42746,9,2008-11-14 10:01:36,2008-11-15 06:17:42,116.336767,39.999266,72966.0,14997,,
46610,9,2008-11-15 06:17:43,2008-11-16 02:16:53,116.344428,40.002996,71950.0,15186,,
48789,9,2008-11-16 02:41:26,2008-11-16 03:19:06,116.348481,39.939951,2260.0,15179,,
49056,9,2008-11-16 03:44:19,2008-11-16 04:39:43,116.242421,39.907327,3324.0,13475,,
49159,9,2008-11-16 04:46:20,2008-11-16 05:37:09,116.245265,39.908087,3049.0,13475,,
52283,9,2008-12-01 00:27:33,2008-12-01 13:36:15,116.331459,39.997988,47322.0,14997,,
53999,9,2008-12-01 13:37:28,2008-12-02 00:25:57,116.336767,39.99905,38909.0,14997,"User 9 will move from grid 14997 to grid 14808, arriving around in about 3 days, on 2008-12-05.","User 9 will move from grid 14997 to grid 14808, at 2008-12-05 04:04:05."
54640,9,2008-12-02 00:27:57,2008-12-02 09:59:50,116.331241,39.998031,34313.0,14997,,
