,userID,stime,etime,lon,lat,duration,grid
36,114,2007-10-19 06:19:35,2007-10-19 06:56:03,116.189883333333,39.9889833333333,2188.0,12728
1501,114,2010-05-10 13:51:11,2010-05-11 02:13:19,116.195447,39.942699,44528.0,12723
3706,114,2010-05-24 12:57:29,2010-05-25 00:59:28,116.195425,39.942778,43319.0,12723
4135,114,2010-05-25 01:33:43,2010-05-25 13:05:16,116.325344,39.979706,41493.0,14806
4594,114,2010-05-25 13:36:21,2010-05-26 01:06:53,116.195367,39.942668,41432.0,12723
5012,114,2010-05-26 01:38:43,2010-05-26 12:10:04,116.327255,39.979736,37881.0,14806
5465,114,2010-05-26 12:40:19,2010-05-27 01:06:35,116.195433,39.942609,44776.0,12723
5965,114,2010-05-27 01:44:20,2010-05-28 01:49:30,116.33627,39.975138,86710.0,14994
6278,114,2010-05-28 02:13:15,2010-05-28 15:02:14,116.325533,39.979738,46139.0,14806
6598,114,2010-05-28 15:24:04,2010-05-29 05:16:57,116.195897,39.942873,49973.0,12723
7097,114,2010-05-29 05:58:07,2010-05-29 10:30:32,116.327869,39.971447,16345.0,14805
7488,114,2010-05-29 10:58:27,2010-06-02 12:04:41,116.195418,39.942724,349574.0,12723
7881,114,2010-06-02 12:35:26,2010-06-03 01:38:13,116.195888,39.942745,46967.0,12723
8278,114,2010-06-03 02:11:53,2010-06-03 14:24:15,116.336441,39.975165,43942.0,14994
8615,114,2010-06-03 14:49:15,2010-06-04 01:53:40,116.195766,39.942715,39865.0,12723
9063,114,2010-06-04 02:28:25,2010-06-04 13:28:32,116.325291,39.97981,39607.0,14806
9423,114,2010-06-04 13:51:47,2010-06-05 06:05:43,116.19558,39.942719,58436.0,12723
9777,114,2010-06-05 06:33:18,2010-06-05 10:45:00,116.327391,39.979817,15102.0,14806
10223,114,2010-06-05 11:18:15,2010-06-07 01:55:13,116.19589,39.942663,139018.0,12723
10619,114,2010-06-07 02:24:48,2010-06-07 13:31:25,116.325417,39.979793,39997.0,14806
10966,114,2010-06-07 13:54:35,2010-06-08 00:59:17,116.19577,39.942811,39882.0,12723
11338,114,2010-06-08 01:28:12,2010-06-08 13:37:05,116.325312,39.979825,43733.0,14806
11717,114,2010-06-08 14:00:35,2010-06-09 00:57:18,116.195668,39.942766,39403.0,12723
