,userID,stime,etime,lon,lat,duration,grid
0,139,2007-09-03 07:18:16,2007-09-03 08:21:04,116.3338,39.9749,3768.0,14994
40,139,2007-09-03 08:34:10,2007-09-06 23:46:28,116.3131,39.8957166666667,313938.0,14608
395,139,2007-09-06 23:50:12,2007-09-07 00:30:06,116.3178,39.9005,2394.0,14797
438,139,2007-09-07 00:57:23,2007-09-13 04:54:45,116.324666666667,39.9750166666667,532642.0,14805
483,139,2007-09-13 05:10:58,2007-09-13 06:41:59,116.321283333333,39.9799,5461.0,14806
576,139,2007-09-13 06:50:52,2007-09-19 00:43:45,116.32495,39.9829166666667,496373.0,14806
631,139,2007-09-19 00:43:45,2007-09-20 14:44:06,116.321966666667,39.9935166666667,136821.0,14807
643,139,2007-09-20 14:46:39,2007-09-21 00:34:39,116.32,39.9795333333333,35280.0,14806
692,139,2007-09-21 00:34:39,2007-09-22 00:24:23,116.321266666667,39.9800666666667,85784.0,14806
758,139,2007-09-22 00:37:58,2007-09-22 04:04:37,116.3213,39.9805,12399.0,14806
805,139,2007-09-22 04:04:37,2007-09-22 04:47:46,116.318633333333,39.9799166666667,2589.0,14806
875,139,2007-10-02 14:43:06,2007-10-03 07:59:05,116.324233333333,39.96635,62159.0,14804
878,139,2007-10-03 07:59:05,2007-10-03 10:29:41,116.32985,39.9755666666667,9036.0,14994
880,139,2007-10-03 10:29:41,2007-10-03 23:03:10,116.582366666667,39.9272166666667,45209.0,18958
900,139,2007-10-03 23:16:43,2007-10-03 23:56:29,116.512433333333,39.9067833333333,2386.0,17822
903,139,2007-10-03 23:56:29,2007-10-04 00:34:34,116.369816666667,39.8984166666667,2285.0,15553
1080,139,2007-10-04 04:03:44,2007-10-04 05:17:00,117.273183333333,40.6548,4396.0,30190
1097,139,2007-10-04 05:20:28,2007-10-04 06:20:21,117.285316666667,40.6587166666667,3593.0,30379
1121,139,2007-10-04 06:20:21,2007-10-04 07:03:42,117.278883333333,40.65975,2601.0,30190
1144,139,2007-10-04 07:03:42,2007-10-06 00:41:32,117.273383333333,40.6543666666667,149870.0,30190
1150,139,2007-10-06 00:41:32,2007-10-06 08:25:11,116.321583333333,39.9814666666667,27819.0,14806
1185,139,2007-10-06 08:34:51,2007-10-06 09:05:54,116.321,39.9899,1863.0,14807
1207,139,2007-10-06 09:05:54,2007-10-06 09:38:04,116.325183333333,39.9945333333333,1930.0,14808
1237,139,2007-10-06 09:52:11,2007-10-06 14:24:35,116.320883333333,39.9881166666667,16344.0,14807
1243,139,2007-10-06 14:24:35,2007-10-07 07:15:14,116.31735,39.97965,60639.0,14806
1260,139,2007-10-07 07:37:09,2007-10-07 09:12:25,116.327083333333,39.9898,5716.0,14807
1277,139,2007-10-07 09:12:25,2007-10-07 09:56:01,116.324516666667,39.9938166666667,2616.0,14807
1308,139,2007-10-07 10:17:40,2007-10-08 00:42:52,116.32725,39.9908,51912.0,14807
1317,139,2007-10-08 00:42:52,2007-10-08 14:47:36,116.322416666667,39.9849166666667,50684.0,14806
1320,139,2007-10-08 14:47:36,2007-10-09 00:35:34,116.319316666667,39.9739333333333,35278.0,14805
