,userID,stime,etime,lon,lat,duration,grid
0,153,2007-07-21 05:08:52,2007-07-21 11:05:31,116.3453,39.9672333333333,21399.0,15182
53,153,2007-07-21 11:05:31,2007-07-21 13:13:26,116.34475,39.9711166666667,7675.0,15183
135,153,2007-07-21 13:43:28,2007-07-22 04:13:35,116.344616666667,39.97095,52207.0,15183
202,153,2007-07-22 04:17:48,2007-07-22 06:23:51,116.312983333333,39.97115,7563.0,14616
366,153,2007-07-22 06:23:51,2007-07-22 08:22:43,116.32735,39.975,7132.0,14805
493,153,2007-07-22 09:56:37,2007-07-22 10:41:52,116.407783333333,40.02825,2715.0,16134
581,153,2007-07-22 10:59:28,2007-07-22 12:21:48,116.344516666667,39.9665833333333,4940.0,15182
616,153,2007-07-22 12:38:50,2007-07-24 23:42:05,116.466616666667,39.9292333333333,212595.0,17068
662,153,2007-07-25 00:03:53,2007-07-25 00:48:14,116.5835,40.0792666666667,2661.0,18975
666,153,2007-07-25 00:48:14,2007-07-28 22:59:46,116.57825,40.0789666666667,339092.0,18975
1501,153,2007-07-28 23:28:32,2007-07-29 01:22:12,116.344766666667,39.9665,6820.0,15182
1532,153,2008-04-05 01:20:41,2008-04-05 03:20:53,116.465183333333,39.9073,7212.0,17066
1602,153,2008-04-05 03:45:39,2008-04-05 05:31:18,116.40535,39.9082833333333,6339.0,16121
1734,153,2008-04-05 06:09:57,2008-04-05 08:30:38,116.391066666667,39.9080666666667,8441.0,15932
1776,153,2008-04-05 08:34:15,2008-04-05 09:05:57,116.3679,39.9080333333333,1902.0,15554
1823,153,2008-04-17 01:02:40,2008-04-17 04:13:28,116.461583333333,39.9573166666667,11448.0,17071
1826,153,2008-04-17 04:13:32,2008-04-18 00:45:29,116.455483333333,39.95935,73917.0,16883
1862,153,2008-04-18 01:02:35,2008-04-18 11:42:46,116.4617,39.9573333333333,38411.0,17071
1886,153,2008-04-18 12:00:12,2008-04-18 15:35:13,116.411566666667,39.9480833333333,12901.0,16314
1900,153,2008-04-18 15:45:53,2008-04-21 01:38:08,116.471766666667,39.9322833333333,208335.0,17258
1934,153,2008-04-21 01:43:20,2008-04-26 12:33:58,116.461966666667,39.95475,471038.0,17071
2052,153,2008-04-26 13:24:08,2008-04-26 14:48:24,116.3835716,39.9214866,5056.0,15744
2179,153,2008-04-26 14:52:43,2008-04-26 19:51:47,116.3676083,39.91652,17944.0,15555
2300,153,2008-04-26 20:10:25,2008-04-26 20:53:45,116.4467083,39.93238,2600.0,16880
2309,153,2008-04-26 20:53:45,2008-04-29 08:46:58,116.4708816,39.927265,215593.0,17257
2427,153,2008-04-29 09:08:22,2008-04-29 18:42:34,116.4622583,39.95518,34452.0,17071
2531,153,2008-04-29 19:01:38,2008-04-29 21:27:09,116.4282216,39.9213849,8731.0,16500
2631,153,2008-04-29 21:54:29,2008-04-30 09:21:29,116.471755,39.9267883,41220.0,17257
2819,153,2008-04-30 09:50:25,2008-04-30 10:47:08,116.4291283,39.9175682,3403.0,16500
3029,153,2008-04-30 11:21:03,2008-04-30 12:03:20,116.3473366,39.9170483,2537.0,15177
3120,153,2008-04-30 12:10:46,2008-04-30 14:56:33,116.3606866,39.9095833,9947.0,15365
3271,153,2008-04-30 15:28:54,2008-04-30 21:21:23,116.42911,39.9192716,21149.0,16500
3673,153,2008-04-30 21:43:16,2008-05-01 02:36:31,116.3483766,39.9665499,17595.0,15182
3888,153,2008-05-01 02:44:02,2008-05-01 03:27:08,116.3368099,39.965905,2586.0,14993
22745,153,2008-05-09 09:01:22,2008-05-10 07:20:31,116.4665499,39.9322966,80349.0,17069
23434,153,2008-05-10 07:29:34,2008-05-10 08:50:19,116.4644666,39.971255,4845.0,17073
24160,153,2008-05-10 09:12:36,2008-05-10 11:11:16,116.4510666,39.98897,7120.0,16886
24905,153,2008-05-10 11:32:03,2008-05-10 14:32:50,116.4975549,39.9621149,10847.0,17639
25153,153,2008-05-10 14:38:42,2008-05-11 09:03:08,116.4772433,39.9324749,66266.0,17258
26847,153,2008-05-11 10:02:54,2008-05-12 00:53:12,116.4670533,39.92613,53418.0,17068
27447,153,2008-05-12 01:10:22,2008-05-12 08:43:13,116.4620683,39.95319,27171.0,17071
