,userID,stime,etime,lon,lat,duration,grid
0,025,2008-12-15 00:01:53,2008-12-15 10:44:41,116.3028049,39.9865216,38568.0,14429
1034,025,2008-12-15 11:25:46,2008-12-16 01:00:04,116.31048,39.9800633,48858.0,14617
1358,025,2008-12-16 01:00:34,2008-12-16 05:35:16,116.4428216,39.9599099,16482.0,16694
2072,025,2008-12-16 06:03:32,2008-12-16 08:06:25,116.3099566,39.980095,7373.0,14617
2488,025,2008-12-16 08:08:27,2008-12-16 11:26:01,116.3014216,39.9862166,11854.0,14429
2893,025,2008-12-16 11:33:59,2008-12-16 12:26:21,116.3014049,39.9864933,3142.0,14429
3793,025,2008-12-16 12:58:41,2008-12-17 01:00:08,116.431235,39.9673866,43287.0,16506
4722,025,2008-12-17 01:41:59,2008-12-17 10:33:57,116.4429716,39.959905,31918.0,16694
5660,025,2008-12-17 11:04:39,2008-12-17 12:57:51,116.3098733,39.9811949,6792.0,14617
6445,025,2008-12-17 12:58:18,2008-12-19 01:00:02,116.3104849,39.9800483,129704.0,14617
7834,025,2008-12-19 02:14:37,2008-12-19 02:48:02,116.4663883,39.9150233,2005.0,17067
9997,025,2008-12-19 04:54:10,2008-12-19 12:54:04,116.3030466,39.986785,28794.0,14429
10271,025,2008-12-19 12:58:37,2008-12-20 00:12:33,116.3133533,39.9701549,40436.0,14616
10302,025,2008-12-20 00:12:33,2008-12-21 03:23:33,116.3019533,39.9865883,97860.0,14429
10594,025,2008-12-21 03:25:11,2008-12-21 04:16:33,116.3005933,39.9891333,3082.0,14429
11353,025,2008-12-21 05:00:46,2008-12-21 07:20:17,116.3042349,39.8990533,8371.0,14419
11961,025,2008-12-21 07:34:30,2008-12-21 08:31:37,116.3041716,39.9261566,3427.0,14422
11993,025,2008-12-21 08:31:37,2008-12-22 01:59:20,116.3026266,39.9876083,62863.0,14429
12829,025,2008-12-22 02:30:54,2008-12-22 05:25:44,116.4428049,39.9599499,10490.0,16694
14180,025,2008-12-22 06:54:09,2008-12-22 08:10:42,116.3074916,39.9890566,4593.0,14618
15511,025,2008-12-22 08:50:32,2008-12-22 10:53:04,116.3014283,39.9837116,7352.0,14428
15633,025,2008-12-22 10:56:16,2008-12-22 12:42:49,116.3014333,39.9864683,6393.0,14429
15797,025,2008-12-22 12:42:49,2008-12-23 02:33:24,116.3011083,39.9887083,49835.0,14429
15832,025,2008-12-23 02:33:28,2008-12-23 04:56:12,116.3015149,39.9865516,8564.0,14429
16345,025,2008-12-23 05:20:27,2008-12-23 05:56:06,116.3945933,39.9888233,2139.0,15941
16814,025,2008-12-23 05:56:06,2008-12-23 07:08:44,116.39449,39.9890699,4358.0,15941
17309,025,2008-12-23 07:29:22,2008-12-24 00:58:51,116.3079483,39.9890416,62969.0,14618
17936,025,2008-12-24 01:14:13,2008-12-24 04:11:42,116.3052216,39.9890449,10649.0,14618
