,userID,stime,slon,slat,sgrid,etime,elon,elat,egrid,duration
0,009,2008-10-24 10:15:36,116.300397,40.050295,14436,2008-10-24 10:15:36,116.300397,40.050295,14436,0.0
0,009,2008-10-24 10:50:11,116.300397,40.050295,14436,2008-10-24 11:19:30,116.336757,39.999259,14997,1759.0
1032,009,2008-10-25 04:46:06,116.336757,39.999259,14997,2008-10-25 04:46:14,116.343978,39.998116,15186,8.0
1384,009,2008-10-27 00:22:58,116.343978,39.998116,15186,2008-10-27 00:26:35,116.331356,39.998033,14997,217.0
3990,009,2008-10-27 12:07:17,116.331356,39.998033,14997,2008-10-27 12:11:17,116.336764,39.999431,14997,240.0
4908,009,2008-10-28 00:22:48,116.336764,39.999431,14997,2008-10-28 00:27:36,116.331414,39.998012,14997,288.0
5213,009,2008-10-28 11:01:56,116.331414,39.998012,14997,2008-10-28 11:09:17,116.336775,39.999259,14997,441.0
5930,009,2008-10-29 00:21:53,116.336775,39.999259,14997,2008-10-29 00:26:11,116.331398,39.998026,14997,258.0
6390,009,2008-10-29 04:06:42,116.331398,39.998026,14997,2008-10-29 04:06:42,116.324901,39.993478,14807,0.0
6595,009,2008-10-29 04:39:35,116.324901,39.993478,14807,2008-10-29 04:39:35,116.327956,39.993733,14807,0.0
6598,009,2008-10-29 10:53:58,116.327956,39.993733,14807,2008-10-29 11:00:56,116.336791,39.99927,14997,418.0
6877,009,2008-10-30 00:18:46,116.336791,39.99927,14997,2008-10-30 00:22:37,116.331456,39.998041,14997,231.0
7447,009,2008-10-30 11:11:19,116.331456,39.998041,14997,2008-10-30 11:13:44,116.336777,39.999254,14997,145.0
8167,009,2008-10-31 10:47:54,116.336777,39.999254,14997,2008-10-31 10:59:02,116.336771,39.999531,14997,668.0
9033,009,2008-11-01 03:16:59,116.336771,39.999531,14997,2008-11-01 03:50:16,116.360303,39.960149,15371,1997.0
10443,009,2008-11-01 04:27:12,116.360303,39.960149,15371,2008-11-01 04:27:20,116.360306,39.960225,15371,8.0
10929,009,2008-11-01 05:41:32,116.360306,39.960225,15371,2008-11-01 05:45:21,116.352058,39.953108,15370,229.0
11538,009,2008-11-01 07:17:19,116.352058,39.953108,15370,2008-11-01 07:17:20,116.358681,39.962025,15371,1.0
12217,009,2008-11-01 09:12:20,116.358681,39.962025,15371,2008-11-01 09:48:56,116.346604,39.998115,15186,2196.0
