,userID,stime,slon,slat,sgrid,etime,elon,elat,egrid,duration
0,019,2008-11-07 08:54:05,116.37989,39.8588299,15737,2008-11-07 09:23:06,116.3839066,39.8638633,15738,1741.0
277,019,2008-11-08 02:32:36,116.3839066,39.8638633,15738,2008-11-08 03:03:45,116.3474883,39.9225483,15178,1869.0
655,019,2008-11-08 04:38:52,116.3474883,39.9225483,15178,2008-11-08 04:54:09,116.3486716,39.8879533,15174,917.0
1203,019,2008-11-08 07:27:49,116.3486716,39.8879533,15174,2008-11-08 07:27:51,116.3546033,39.8876666,15363,2.0
1560,019,2008-11-08 08:52:10,116.3546033,39.8876666,15363,2008-11-08 10:26:40,116.3839766,39.8658549,15738,5670.0
2606,019,2008-11-09 01:59:18,116.3839766,39.8658549,15738,2008-11-09 02:45:21,116.3839349,39.8652166,15738,2763.0
3309,019,2008-11-09 09:32:24,116.3839349,39.8652166,15738,2008-11-09 09:36:38,116.3864516,39.8631616,15738,254.0
3392,019,2008-11-10 06:08:36,116.3864516,39.8631616,15738,2008-11-10 06:32:26,116.3684583,39.8901966,15552,1430.0
3708,019,2008-11-10 07:33:29,116.3684583,39.8901966,15552,2008-11-10 07:44:44,116.37216,39.9056366,15554,675.0
3993,019,2008-11-10 09:02:33,116.37216,39.9056366,15554,2008-11-10 09:26:46,116.3914533,39.7551366,15915,1453.0
4203,019,2008-11-11 02:44:44,116.3914533,39.7551366,15915,2008-11-11 03:29:59,116.3484816,39.9398233,15179,2715.0
4411,019,2008-11-11 05:41:32,116.3484816,39.9398233,15179,2008-11-11 05:41:32,116.3358699,39.93646,14990,0.0
4566,019,2008-11-11 07:49:21,116.3358699,39.93646,14990,2008-11-11 07:55:40,116.3486549,39.9219049,15177,379.0
4728,019,2008-11-11 08:31:58,116.3486549,39.9219049,15177,2008-11-11 08:31:58,116.3813299,39.8780983,15740,0.0
4769,019,2008-11-11 09:16:53,116.3813299,39.8780983,15740,2008-11-11 09:16:53,116.3860883,39.8656149,15738,0.0
