,userID,stime,slon,slat,sgrid,etime,elon,elat,egrid,duration
0,003,2008-10-23 17:58:59,116.326708,39.999876,14808,2008-10-23 18:15:49,116.31799,40.007122,14809,1010.0
143,003,2008-10-24 02:06:42,116.31799,40.007122,14809,2008-10-24 02:07:52,116.325051,40.003421,14809,70.0
220,003,2008-10-24 03:38:45,116.325051,40.003421,14809,2008-10-24 03:56:20,116.325133,40.005408,14809,1055.0
418,003,2008-10-24 05:14:10,116.325133,40.005408,14809,2008-10-24 05:16:15,116.321248,40.007112,14809,125.0
473,003,2008-10-24 07:06:09,116.321248,40.007112,14809,2008-10-24 07:11:54,116.325027,39.999854,14808,345.0
613,003,2008-10-24 09:28:33,116.325027,39.999854,14808,2008-10-24 09:28:33,116.326787,39.99796,14808,0.0
667,003,2008-10-24 10:13:41,116.326787,39.99796,14808,2008-10-24 10:13:41,116.326606,39.998109,14808,0.0
810,003,2008-10-24 11:23:05,116.326606,39.998109,14808,2008-10-24 11:23:05,116.326897,39.998047,14808,0.0
925,003,2008-10-24 12:02:37,116.326897,39.998047,14808,2008-10-24 12:02:37,116.326556,39.99806,14808,0.0
1226,003,2008-10-24 19:34:34,116.326556,39.99806,14808,2008-10-24 19:40:09,116.324222,40.007049,14809,335.0
1384,003,2008-10-25 01:55:10,116.324222,40.007049,14809,2008-10-25 02:02:15,116.313359,39.998741,14619,425.0
1619,003,2008-10-25 05:04:27,116.313359,39.998741,14619,2008-10-25 05:26:57,116.324374,39.980742,14806,1350.0
2146,003,2008-10-25 10:42:23,116.324374,39.980742,14806,2008-10-25 11:10:53,116.324768,39.999806,14808,1710.0
2540,003,2008-10-25 11:48:42,116.324768,39.999806,14808,2008-10-25 11:53:28,116.320878,40.007002,14809,286.0
2713,003,2008-10-25 12:47:15,116.320878,40.007002,14809,2008-10-25 13:03:55,116.324982,40.002354,14808,1000.0
3130,003,2008-10-25 18:26:29,116.324982,40.002354,14808,2008-10-25 18:31:34,116.321232,40.007153,14809,305.0
3242,003,2008-10-26 04:40:45,116.321232,40.007153,14809,2008-10-26 04:46:05,116.324971,39.999834,14808,320.0
3340,003,2008-10-26 05:21:15,116.324971,39.999834,14808,2008-10-26 05:23:10,116.321885,39.998029,14808,115.0
3412,003,2008-10-26 06:25:25,116.321885,39.998029,14808,2008-10-26 06:27:05,116.326841,39.998175,14808,100.0
3564,003,2008-10-26 09:51:49,116.326841,39.998175,14808,2008-10-26 10:08:44,116.328469,39.990926,14807,1015.0
3774,003,2008-10-26 10:41:44,116.328469,39.990926,14807,2008-10-26 11:01:36,116.324961,39.965913,14804,1192.0
4094,003,2008-10-26 12:13:59,116.324961,39.965913,14804,2008-10-26 12:13:59,116.317143,39.97129,14805,0.0
4306,003,2008-10-26 13:36:20,116.317143,39.97129,14805,2008-10-26 14:20:40,116.326673,39.998071,14808,2660.0
4694,003,2008-10-27 04:19:51,116.326673,39.998071,14808,2008-10-27 04:24:36,116.324141,40.007081,14809,285.0
4810,003,2008-10-27 05:08:12,116.324141,40.007081,14809,2008-10-27 05:10:32,116.32499,40.003419,14809,140.0
4979,003,2008-10-27 07:05:35,116.32499,40.003419,14809,2008-10-27 07:39:57,116.326719,39.998186,14808,2062.0
5288,003,2008-10-27 09:25:57,116.326719,39.998186,14808,2008-10-27 09:48:42,116.345577,39.943855,15180,1365.0
5558,003,2008-10-27 10:31:07,116.345577,39.943855,15180,2008-10-27 10:51:37,116.183616,39.906299,12530,1230.0
5831,003,2008-10-27 12:23:22,116.183616,39.906299,12530,2008-10-27 12:23:22,116.195405,39.906261,12719,0.0
6119,003,2008-10-27 13:30:22,116.195405,39.906261,12719,2008-10-27 13:52:12,116.326738,39.998094,14808,1310.0
6544,003,2008-10-28 04:07:16,116.326738,39.998094,14808,2008-10-28 04:26:42,116.324999,40.003446,14809,1166.0
6705,003,2008-10-28 05:12:03,116.324999,40.003446,14809,2008-10-28 06:11:48,116.326635,39.988955,14807,3585.0
7348,003,2008-10-28 09:37:10,116.326635,39.988955,14807,2008-10-28 09:44:35,116.326714,39.998068,14808,445.0
7696,003,2008-10-28 10:34:03,116.326714,39.998068,14808,2008-10-28 10:38:43,116.324277,40.007082,14809,280.0
7821,003,2008-10-28 11:26:54,116.324277,40.007082,14809,2008-10-28 11:56:29,116.327253,39.999726,14808,1775.0
8075,003,2008-10-29 04:04:12,116.327253,39.999726,14808,2008-10-29 04:37:26,116.327381,39.999883,14808,1994.0
8407,003,2008-10-29 06:06:55,116.327381,39.999883,14808,2008-10-29 07:52:50,116.324903,39.992027,14807,6355.0
9326,003,2008-10-29 09:40:06,116.324903,39.992027,14807,2008-10-29 10:01:51,116.352567,39.962052,15371,1305.0
9594,003,2008-10-29 12:33:45,116.352567,39.962052,15371,2008-10-29 13:09:25,116.321147,40.007088,14809,2140.0
10053,003,2008-10-30 01:48:33,116.321147,40.007088,14809,2008-10-30 02:00:38,116.324875,39.996144,14808,725.0
10482,003,2008-10-30 04:10:22,116.324875,39.996144,14808,2008-10-30 04:12:17,116.326362,39.998199,14808,115.0
10539,003,2008-10-30 09:46:06,116.326362,39.998199,14808,2008-10-30 10:11:51,116.321167,40.007092,14809,1545.0
10763,003,2008-10-30 10:57:27,116.321167,40.007092,14809,2008-10-30 11:01:32,116.325078,40.00239,14808,245.0
10859,003,2008-10-31 03:16:32,116.325078,40.00239,14808,2008-10-31 03:58:22,116.325019,40.005673,14809,2510.0
11095,003,2008-10-31 05:15:25,116.325019,40.005673,14809,2008-10-31 05:17:50,116.320079,40.007182,14809,145.0
11155,003,2008-10-31 06:08:36,116.320079,40.007182,14809,2008-10-31 06:14:41,116.325064,40.000084,14808,365.0
11304,003,2008-10-31 07:13:05,116.325064,40.000084,14808,2008-10-31 07:17:42,116.324965,39.991623,14807,277.0
11412,003,2008-10-31 07:52:07,116.324965,39.991623,14807,2008-10-31 08:53:57,116.367616,39.908014,15554,3710.0
12420,003,2008-10-31 09:31:29,116.367616,39.908014,15554,2008-10-31 11:26:18,116.326678,39.99806,14808,6889.0
13541,003,2008-11-01 09:41:01,116.326678,39.99806,14808,2008-11-01 09:41:01,116.32679,39.997894,14808,0.0
13608,003,2008-11-01 11:07:04,116.32679,39.997894,14808,2008-11-01 11:23:24,116.327975,40.000397,14808,980.0
14045,003,2008-11-01 14:31:38,116.327975,40.000397,14808,2008-11-01 14:40:53,116.329111,39.998175,14997,555.0
14198,003,2008-11-01 17:26:05,116.329111,39.998175,14997,2008-11-01 17:30:40,116.321205,40.007069,14809,275.0
14339,003,2008-11-02 00:48:33,116.321205,40.007069,14809,2008-11-02 01:38:12,116.307167,39.989042,14618,2979.0
14744,003,2008-11-02 03:14:46,116.307167,39.989042,14618,2008-11-02 03:47:01,116.32499,40.00338,14808,1935.0
15123,003,2008-11-02 05:17:43,116.32499,40.00338,14808,2008-11-02 05:28:08,116.324847,39.981314,14806,625.0
15304,003,2008-11-02 08:07:54,116.324847,39.981314,14806,2008-11-02 09:58:09,116.321168,40.007191,14809,6615.0
16542,003,2008-11-02 10:54:48,116.321168,40.007191,14809,2008-11-02 11:03:28,116.325042,39.999732,14808,520.0
16809,003,2008-11-03 00:35:51,116.325042,39.999732,14808,2008-11-03 00:39:31,116.32042,40.007111,14809,220.0
16926,003,2008-11-03 09:13:43,116.32042,40.007111,14809,2008-11-03 09:21:28,116.317854,39.997972,14808,465.0
17055,003,2008-11-03 10:20:28,116.317854,39.997972,14808,2008-11-03 10:25:18,116.326749,39.998205,14808,290.0
17370,003,2008-11-03 16:55:19,116.326749,39.998205,14808,2008-11-03 17:01:19,116.321178,40.007138,14809,360.0
17490,003,2008-11-04 04:26:20,116.321178,40.007138,14809,2008-11-04 04:34:10,116.325147,39.999757,14808,470.0
17607,003,2008-11-04 07:24:11,116.325147,39.999757,14808,2008-11-04 07:41:13,116.319669,40.007974,14809,1022.0
17743,003,2008-11-04 09:39:25,116.319669,40.007974,14809,2008-11-04 10:15:55,116.324988,39.999755,14808,2190.0
18276,003,2008-11-04 18:46:09,116.324988,39.999755,14808,2008-11-04 18:51:09,116.32129,40.007086,14809,300.0
18439,003,2008-11-05 01:56:09,116.32129,40.007086,14809,2008-11-05 01:56:29,116.325006,39.999886,14808,20.0
18504,003,2008-11-05 04:02:29,116.325006,39.999886,14808,2008-11-05 04:36:34,116.325058,40.003475,14809,2045.0
18728,003,2008-11-05 07:42:54,116.325058,40.003475,14809,2008-11-05 07:47:29,116.321901,39.997977,14808,275.0
18853,003,2008-11-05 08:47:00,116.321901,39.997977,14808,2008-11-05 08:48:30,116.326826,39.998105,14808,90.0
18989,003,2008-11-05 09:49:11,116.326826,39.998105,14808,2008-11-05 10:26:08,116.325012,40.001383,14808,2217.0
19232,003,2008-11-06 03:01:08,116.325012,40.001383,14808,2008-11-06 03:17:28,116.324991,39.999784,14808,980.0
19417,003,2008-11-06 03:59:07,116.324991,39.999784,14808,2008-11-06 04:01:22,116.324295,40.007128,14809,135.0
19547,003,2008-11-06 04:32:32,116.324295,40.007128,14809,2008-11-06 04:35:40,116.325094,40.002486,14808,188.0
19703,003,2008-11-06 06:07:52,116.325094,40.002486,14808,2008-11-06 07:13:44,116.406788,40.061099,16138,3952.0
20618,003,2008-11-06 09:39:45,116.406788,40.061099,16138,2008-11-06 10:35:36,116.336397,39.991665,14996,3351.0
21425,003,2008-11-06 12:55:02,116.336397,39.991665,14996,2008-11-06 12:55:02,116.326666,39.998118,14808,0.0
22200,003,2008-11-06 17:42:02,116.326666,39.998118,14808,2008-11-06 17:47:22,116.321332,40.007059,14809,320.0
22364,003,2008-11-07 01:06:24,116.321332,40.007059,14809,2008-11-07 02:08:48,116.326794,39.935766,14801,3744.0
23179,003,2008-11-07 04:32:58,116.326794,39.935766,14801,2008-11-07 05:27:53,116.324779,39.994171,14807,3295.0
24275,003,2008-11-07 07:12:04,116.324779,39.994171,14807,2008-11-07 07:25:09,116.320017,40.007042,14809,785.0
24756,003,2008-11-07 08:40:05,116.320017,40.007042,14809,2008-11-07 08:51:10,116.324875,39.984165,14806,665.0
24917,003,2008-11-07 09:38:50,116.324875,39.984165,14806,2008-11-07 09:52:50,116.319213,39.971041,14805,840.0
25440,003,2008-11-07 13:21:56,116.319213,39.971041,14805,2008-11-07 13:21:56,116.315794,39.971104,14616,0.0
25691,003,2008-11-07 14:38:49,116.315794,39.971104,14616,2008-11-07 14:54:59,116.32665,39.998231,14808,970.0
25903,003,2008-11-07 18:02:39,116.32665,39.998231,14808,2008-11-07 18:07:49,116.321193,40.007044,14809,310.0
26012,003,2008-11-07 19:10:14,116.321193,40.007044,14809,2008-11-07 19:22:39,116.322181,40.007457,14809,745.0
26660,003,2008-11-08 00:21:19,116.322181,40.007457,14809,2008-11-08 00:34:29,116.31986,40.007246,14809,790.0
29128,003,2008-11-08 01:11:28,116.31986,40.007246,14809,2008-11-08 02:13:03,116.301405,40.040826,14435,3695.0
