,userID,stime,slon,slat,sgrid,etime,elon,elat,egrid,duration
0,004,2008-10-23 17:58:58,116.327161,40.000011,14808,2008-10-23 18:02:48,116.324454,40.007798,14809,230.0
48,004,2008-10-24 02:06:39,116.324454,40.007798,14809,2008-10-24 02:07:49,116.324988,40.003466,14809,70.0
200,004,2008-10-24 09:28:49,116.324988,40.003466,14809,2008-10-24 09:28:49,116.326523,39.997836,14808,0.0
288,004,2008-10-24 10:13:44,116.326523,39.997836,14808,2008-10-24 10:13:44,116.326585,39.998132,14808,0.0
435,004,2008-10-24 11:23:05,116.326585,39.998132,14808,2008-10-24 11:23:05,116.32684,39.998009,14808,0.0
508,004,2008-10-24 12:02:07,116.32684,39.998009,14808,2008-10-24 12:02:07,116.326681,39.998082,14808,0.0
822,004,2008-10-24 16:00:19,116.326681,39.998082,14808,2008-10-24 16:00:19,116.324913,40.000053,14808,0.0
893,004,2008-10-25 05:02:07,116.324913,40.000053,14808,2008-10-25 05:19:02,116.324818,39.981197,14806,1015.0
1171,004,2008-10-25 09:17:36,116.324818,39.981197,14806,2008-10-25 10:35:41,116.325014,40.001429,14808,4685.0
1700,004,2008-10-25 18:26:57,116.325014,40.001429,14808,2008-10-25 18:30:22,116.324202,40.007222,14809,205.0
1804,004,2008-10-26 06:51:32,116.324202,40.007222,14809,2008-10-26 07:19:28,116.324852,39.991447,14807,1676.0
2024,004,2008-10-26 08:03:11,116.324852,39.991447,14807,2008-10-26 08:04:41,116.326688,39.998131,14808,90.0
2143,004,2008-10-26 08:41:53,116.326688,39.998131,14808,2008-10-26 09:20:13,116.412249,39.967632,16317,2300.0
2338,004,2008-10-26 14:05:37,116.412249,39.967632,16317,2008-10-26 14:20:37,116.326743,39.998168,14808,900.0
2750,004,2008-10-26 18:47:42,116.326743,39.998168,14808,2008-10-26 18:51:22,116.324184,40.007062,14809,220.0
2853,004,2008-10-27 05:52:05,116.324184,40.007062,14809,2008-10-27 06:52:40,116.310459,39.980019,14617,3635.0
3370,004,2008-10-27 07:48:02,116.310459,39.980019,14617,2008-10-27 08:02:42,116.31328,39.998654,14619,880.0
3812,004,2008-10-27 10:41:23,116.31328,39.998654,14619,2008-10-27 10:41:23,116.32522,39.999866,14808,0.0
4027,004,2008-10-27 19:11:24,116.32522,39.999866,14808,2008-10-27 19:15:04,116.32424,40.00706,14809,220.0
4106,004,2008-10-28 05:52:25,116.32424,40.00706,14809,2008-10-28 06:07:25,116.336966,40.006336,14998,900.0
4377,004,2008-10-28 07:35:52,116.336966,40.006336,14998,2008-10-28 07:45:17,116.326784,39.99813,14808,565.0
4575,004,2008-10-28 10:34:05,116.326784,39.99813,14808,2008-10-28 10:38:55,116.324258,40.007076,14809,290.0
4672,004,2008-10-28 11:26:50,116.324258,40.007076,14809,2008-10-28 11:31:25,116.325071,40.002355,14808,275.0
4830,004,2008-10-28 20:34:13,116.325071,40.002355,14808,2008-10-28 20:37:33,116.324124,40.007104,14809,200.0
4932,004,2008-10-29 05:14:45,116.324124,40.007104,14809,2008-10-29 05:21:30,116.326995,39.999948,14808,405.0
5077,004,2008-10-29 06:07:00,116.326995,39.999948,14808,2008-10-29 07:16:16,116.32512,39.991838,14807,4156.0
5808,004,2008-10-29 09:28:06,116.32512,39.991838,14807,2008-10-29 10:01:46,116.35246,39.962004,15371,2020.0
6314,004,2008-10-29 12:28:59,116.35246,39.962004,15371,2008-10-29 13:09:29,116.321085,40.007114,14809,2430.0
6955,004,2008-10-30 01:48:37,116.321085,40.007114,14809,2008-10-30 01:52:37,116.325289,40.000071,14808,240.0
7269,004,2008-10-30 03:43:04,116.325289,40.000071,14808,2008-10-30 03:43:04,116.324891,39.999775,14808,0.0
7313,004,2008-10-30 04:20:43,116.324891,39.999775,14808,2008-10-30 04:20:43,116.325195,39.999886,14808,0.0
7498,004,2008-10-30 06:26:45,116.325195,39.999886,14808,2008-10-30 06:30:25,116.322047,39.997995,14808,220.0
7564,004,2008-10-30 07:16:24,116.322047,39.997995,14808,2008-10-30 07:18:19,116.326799,39.998147,14808,115.0
7713,004,2008-10-30 08:32:00,116.326799,39.998147,14808,2008-10-30 08:32:00,116.324912,39.999624,14808,0.0
7749,004,2008-10-30 11:42:08,116.324912,39.999624,14808,2008-10-30 11:42:08,116.325017,39.999874,14808,0.0
7878,004,2008-10-30 18:11:56,116.325017,39.999874,14808,2008-10-30 18:16:06,116.32451,40.007047,14809,250.0
7968,004,2008-10-31 02:08:25,116.32451,40.007047,14809,2008-10-31 02:12:30,116.325202,40.000443,14808,245.0
8109,004,2008-10-31 03:45:38,116.325202,40.000443,14808,2008-10-31 03:58:23,116.325108,40.005523,14809,765.0
8259,004,2008-10-31 05:15:37,116.325108,40.005523,14809,2008-10-31 05:19:27,116.325044,39.999866,14808,230.0
8340,004,2008-10-31 09:24:45,116.325044,39.999866,14808,2008-10-31 09:24:45,116.32769,40.007186,14809,0.0
8435,004,2008-10-31 10:54:58,116.32769,40.007186,14809,2008-10-31 11:00:53,116.325009,40.002358,14808,355.0
8569,004,2008-10-31 17:04:48,116.325009,40.002358,14808,2008-10-31 17:09:03,116.324049,40.007044,14809,255.0
8693,004,2008-11-01 05:13:35,116.324049,40.007044,14809,2008-11-01 05:17:35,116.324978,39.999883,14808,240.0
8830,004,2008-11-01 09:41:01,116.324978,39.999883,14808,2008-11-01 09:41:01,116.32671,39.997993,14808,0.0
8881,004,2008-11-01 11:05:17,116.32671,39.997993,14808,2008-11-01 11:05:17,116.326589,39.998086,14808,0.0
9190,004,2008-11-02 00:47:44,116.326589,39.998086,14808,2008-11-02 01:17:44,116.305076,39.988955,14618,1800.0
9532,004,2008-11-02 03:14:43,116.305076,39.988955,14618,2008-11-02 03:47:03,116.324985,40.003428,14809,1940.0
9980,004,2008-11-02 05:19:32,116.324985,40.003428,14809,2008-11-02 05:32:37,116.325285,39.982124,14806,785.0
10195,004,2008-11-02 08:05:56,116.325285,39.982124,14806,2008-11-02 08:39:46,116.319341,39.971106,14805,2030.0
10531,004,2008-11-02 09:26:56,116.319341,39.971106,14805,2008-11-02 09:58:08,116.321189,40.007079,14809,1872.0
11145,004,2008-11-02 10:54:51,116.321189,40.007079,14809,2008-11-02 11:03:31,116.325156,39.999817,14808,520.0
11436,004,2008-11-02 20:53:30,116.325156,39.999817,14808,2008-11-02 20:57:20,116.324212,40.007103,14809,230.0
11533,004,2008-11-03 06:10:47,116.324212,40.007103,14809,2008-11-03 06:13:32,116.325009,40.002392,14808,165.0
11652,004,2008-11-03 08:28:38,116.325009,40.002392,14808,2008-11-03 08:30:28,116.32198,39.998043,14808,110.0
11719,004,2008-11-03 09:14:14,116.32198,39.998043,14808,2008-11-03 10:13:53,116.325008,40.001804,14808,3579.0
12139,004,2008-11-03 16:58:01,116.325008,40.001804,14808,2008-11-03 17:00:01,116.324312,40.007159,14809,120.0
12235,004,2008-11-04 01:07:01,116.324312,40.007159,14809,2008-11-04 01:09:51,116.325168,40.001145,14808,170.0
16228,004,2008-11-04 09:41:08,116.325168,40.001145,14808,2008-11-04 09:46:03,116.32415,40.007257,14809,295.0
16335,004,2008-11-04 10:17:45,116.32415,40.007257,14809,2008-11-04 10:33:10,116.325046,39.999843,14808,925.0
16607,004,2008-11-04 19:17:01,116.325046,39.999843,14808,2008-11-04 19:20:16,116.324222,40.007093,14809,195.0
16683,004,2008-11-05 00:13:01,116.324222,40.007093,14809,2008-11-05 00:25:31,116.324989,39.999813,14808,750.0
16916,004,2008-11-05 03:08:33,116.324989,39.999813,14808,2008-11-05 03:08:33,116.324801,39.999795,14808,0.0
16948,004,2008-11-05 04:28:13,116.324801,39.999795,14808,2008-11-05 04:28:13,116.321559,39.997931,14808,0.0
17323,004,2008-11-05 05:32:02,116.321559,39.997931,14808,2008-11-05 05:32:02,116.319555,39.998053,14808,0.0
17462,004,2008-11-05 06:09:33,116.319555,39.998053,14808,2008-11-05 06:09:33,116.32519,39.999906,14808,0.0
17519,004,2008-11-05 07:12:06,116.32519,39.999906,14808,2008-11-05 07:12:06,116.324853,39.999949,14808,0.0
17567,004,2008-11-05 10:46:32,116.324853,39.999949,14808,2008-11-05 10:46:32,116.319498,40.007092,14809,0.0
17951,004,2008-11-05 11:26:48,116.319498,40.007092,14809,2008-11-05 11:43:23,116.318623,39.998676,14808,995.0
18213,004,2008-11-05 13:09:56,116.318623,39.998676,14808,2008-11-05 13:09:56,116.325057,39.999614,14808,0.0
18711,004,2008-11-05 20:33:24,116.325057,39.999614,14808,2008-11-05 20:36:59,116.324408,40.007105,14809,215.0
