,userID,stime,slon,slat,sgrid,etime,elon,elat,egrid,duration
0,047,2007-08-01 00:47:40,116.330183333333,39.97675,14995,2007-08-01 00:47:40,116.330183333333,39.97675,14995,0.0
0,047,2007-08-02 04:32:07,116.330183333333,39.97675,14995,2007-08-02 04:32:16,116.332433333333,39.9755333333333,14994,9.0
25,047,2007-08-02 10:21:50,116.332433333333,39.9755333333333,14994,2007-08-02 10:26:15,116.3283,39.9799333333333,14806,265.0
61,047,2007-08-03 04:02:20,116.3283,39.9799333333333,14806,2007-08-03 04:27:06,116.328316666667,39.97995,14806,1486.0
152,047,2007-08-03 11:45:09,116.328316666667,39.97995,14806,2007-08-03 11:45:09,116.327566666667,39.9801,14806,0.0
185,047,2007-08-03 13:11:31,116.327566666667,39.9801,14806,2007-08-03 13:39:47,116.346433333333,39.9396666666667,15179,1696.0
246,047,2007-08-03 14:11:09,116.346433333333,39.9396666666667,15179,2007-08-03 14:11:09,116.4217,39.9036166666667,16309,0.0
257,047,2007-08-06 05:37:36,116.4217,39.9036166666667,16309,2007-08-06 05:57:04,116.328266666667,39.98155,14806,1168.0
651,047,2007-08-06 11:04:51,116.328266666667,39.98155,14806,2007-08-06 11:04:51,116.332516666667,39.9773333333333,14995,0.0
661,047,2007-08-07 10:33:56,116.332516666667,39.9773333333333,14995,2007-08-07 10:33:56,116.328516666667,39.9802166666667,14806,0.0
701,047,2007-08-08 01:03:17,116.328516666667,39.9802166666667,14806,2007-08-08 01:03:17,116.3284,39.9797,14806,0.0
720,047,2007-08-09 00:35:45,116.3284,39.9797,14806,2007-08-09 00:46:20,116.33085,39.9768833333333,14995,635.0
