,userID,stime,etime,lon,lat,duration,grid,context
561,11,2008-09-26 11:13:15,2008-09-27 05:50:40,116.3421849,39.983295,67045.0,15184,"User 11 will move from grid 15184 to grid 15371, arriving around 2008-10-12 07:11:12."
562,11,2008-09-27 05:50:40,2008-09-27 11:49:22,116.3502183,39.9340633,21522.0,15179,"User 11 will move from grid 15179 to grid 16116, arriving around 2008-09-29 12:29:23."
1461,11,2008-09-27 13:05:36,2008-09-27 23:29:26,116.3525449,39.9800916,37430.0,15373,"User 11 will move from grid 15373 to grid 15554, arriving around later today, in the morning."
2287,11,2008-09-27 23:52:07,2008-09-28 07:50:42,116.3485233,39.9365399,28715.0,15179,"User 11 will move from grid 15179 to grid 15556, arriving around later today, in the afternoon."
3115,11,2008-09-28 08:47:50,2008-09-28 10:15:03,116.3675483,39.9170599,5233.0,15555,"User 11 will move from grid 15555 to grid 16115, arriving around in about 4 days, on 2008-10-02."
3294,11,2008-09-28 10:15:03,2008-09-28 12:11:15,116.3673349,39.9077816,6972.0,15554,"User 11 will move from grid 15554 to grid 16115, arriving around 2008-10-03 10:09:02."
3516,11,2008-09-28 12:23:06,2008-09-28 13:19:43,116.3670216,39.9261799,3397.0,15556,"User 11 will move from grid 15556 to grid 16115, arriving around 2008-09-30 13:30:42."
4226,11,2008-09-28 13:42:02,2008-09-28 23:26:08,116.3603299,39.977125,35046.0,15373,"User 11 will move from grid 15373 to grid 16115, arriving around 2008-10-04 12:26:29."
4792,11,2008-09-28 23:50:28,2008-09-29 09:45:45,116.3484966,39.9360516,35717.0,15179,"User 11 will move from grid 15179 to grid 16116, arriving around in about 3 days, on 2008-10-03."
5152,11,2008-09-29 10:03:44,2008-09-29 10:42:25,116.3485683,39.9831933,2321.0,15184,
7118,11,2008-09-29 12:29:23,2008-09-30 12:43:09,116.4074483,39.8596899,87226.0,16116,"User 11 will move from grid 16116 to grid 16304, arriving around 2008-09-30 12:47:09."
7205,11,2008-09-30 12:47:09,2008-09-30 13:30:42,116.4126833,39.8542966,2613.0,16304,"User 11 will move from grid 16304 to grid 16115, arriving around 2008-10-04 13:11:45."
7490,11,2008-09-30 13:30:42,2008-10-01 00:54:33,116.4074333,39.8587433,41031.0,16115,
9174,11,2008-10-01 02:22:30,2008-10-01 03:17:49,116.3600733,39.9804983,3319.0,15373,"User 11 will move from grid 15373 to grid 15372, arriving around 2008-10-12 06:40:38."
9942,11,2008-10-01 03:19:18,2008-10-01 04:18:05,116.3608749,39.9800866,3527.0,15373,"User 11 will move from grid 15373 to grid 16305, arriving around in about 1 days, on 2008-10-03."
10139,11,2008-10-01 04:24:34,2008-10-01 10:57:32,116.3603283,39.9777233,23578.0,15373,"User 11 will move from grid 15373 to grid 16116, arriving around 2008-10-01 12:52:31."
12399,11,2008-10-01 12:52:31,2008-10-02 12:58:32,116.4074149,39.8597166,86761.0,16116,
12810,11,2008-10-02 13:18:51,2008-10-03 02:02:32,116.4074316,39.8588382,45821.0,16115,"User 11 will move from grid 16115 to grid 16116, arriving around 2008-10-03 02:03:53."
12882,11,2008-10-03 02:03:53,2008-10-03 02:38:40,116.4074649,39.8597666,2087.0,16116,
13003,11,2008-10-03 02:38:40,2008-10-03 04:41:30,116.4154649,39.8631649,7370.0,16305,"User 11 will move from grid 16305 to grid 14617, arriving around 2008-10-11 04:46:53."
13543,11,2008-10-03 04:49:02,2008-10-03 09:32:32,116.407425,39.8598516,17010.0,16116,
14069,11,2008-10-03 10:09:02,2008-10-04 12:26:29,116.4074233,39.8560016,94647.0,16115,
14482,11,2008-10-04 12:26:29,2008-10-04 13:11:45,116.4074616,39.8587583,2716.0,16115,
15179,11,2008-10-04 13:11:45,2008-10-04 22:40:38,116.4073916,39.8588166,34133.0,16115,
16790,11,2008-10-04 23:55:38,2008-10-05 09:42:04,116.3478133,39.9351033,35186.0,15179,"User 11 will move from grid 15179 to grid 14996, arriving around in about 2 months."
17623,11,2008-10-05 10:30:33,2008-10-05 23:18:21,116.3602899,39.9784349,46068.0,15373,"User 11 will move from grid 15373 to grid 16138, arriving around 2008-10-08 02:10:32."
17785,11,2008-10-06 00:03:26,2008-10-06 08:30:55,116.3484799,39.9360599,30449.0,15179,"User 11 will move from grid 15179 to grid 14807, arriving around 2008-10-11 07:24:57."
