,userID,stime,etime,lon,lat,duration,grid,context
7085,65,2009-09-26 01:47:36,2009-09-26 04:28:16,116.276902,39.997887,9640.0,14052,"User 65 will move from grid 14052 to grid 14805, arriving around in about 23 months."
8616,65,2009-09-26 04:40:06,2009-09-26 05:34:21,116.263387,39.998069,3255.0,13863,"User 65 will move from grid 13863 to grid 14427, arriving around in about 22 months."
9013,65,2009-09-26 05:34:21,2009-09-26 06:51:31,116.266104,40.000526,4630.0,13863,"User 65 will move from grid 13863 to grid 14806, arriving around in about 7 months."
10028,65,2009-09-26 07:17:36,2009-09-26 08:19:46,116.26804,39.998041,3730.0,13863,"User 65 will move from grid 13863 to grid 14806, arriving around in about 23 months."
10655,65,2009-09-26 08:35:11,2009-09-26 09:30:01,116.310566,39.979936,3290.0,14617,"User 65 will move from grid 14617 to grid 15184, arriving around in about 7 months."
10884,65,2009-09-26 09:31:11,2009-09-26 10:03:56,116.307746,39.980083,1965.0,14617,"User 65 will move from grid 14617 to grid 14805, arriving around in about 23 months."
11150,65,2009-09-26 10:11:51,2009-09-26 12:45:31,116.30327,39.988996,9220.0,14429,"User 65 will move from grid 14429 to grid 14806, arriving around in about 23 months."
12413,65,2009-09-26 12:45:31,2009-09-26 13:19:36,116.307846,39.979978,2045.0,14617,"User 65 will move from grid 14617 to grid 15370, arriving around in about 24 months."
12585,65,2010-03-13 05:47:10,2010-03-13 06:54:11,116.307994,39.969319,4021.0,14616,"User 65 will move from grid 14616 to grid 14994, arriving around in about 2 months."
12674,65,2010-04-24 07:44:36,2010-04-24 15:36:06,116.3131,39.983796,28290.0,14617,"User 65 will move from grid 14617 to grid 14994, arriving around in about 1 weeks, specifically next Wednesday."
12867,65,2010-05-05 13:13:57,2010-05-06 01:30:40,116.336798,39.97518,44203.0,14994,"User 65 will move from grid 14994 to grid 14995, arriving around in about 15 months."
13068,65,2010-05-06 01:30:40,2010-05-06 13:42:35,116.33665,39.975598,43915.0,14994,"User 65 will move from grid 14994 to grid 15182, arriving around 2010-05-06 13:49:10."
13209,65,2010-05-06 13:49:10,2010-05-07 01:24:34,116.35132,39.961618,41724.0,15182,"User 65 will move from grid 15182 to grid 14807, arriving around in about 15 months."
13226,65,2010-05-07 01:24:54,2010-05-07 10:45:39,116.336133,39.97596,33645.0,14994,"User 65 will move from grid 14994 to grid 14427, arriving around in about 15 months."
13455,65,2010-05-07 10:56:44,2010-05-07 14:12:05,116.324903,39.985076,11721.0,14806,"User 65 will move from grid 14806 to grid 14428, arriving around in about 15 months."
13776,65,2010-05-07 14:32:25,2010-05-08 02:23:46,116.347421,39.980044,42681.0,15184,"User 65 will move from grid 15184 to grid 14428, arriving around in about 15 months."
15525,65,2011-07-28 22:40:47,2011-07-30 06:00:06,116.327056436,39.980147109,112759.0,14806,"User 65 will move from grid 14806 to grid 15370, arriving around in about 1 weeks, specifically next Saturday."
15998,65,2011-07-30 06:32:57,2011-07-30 13:50:40,116.304616666667,39.9710816666667,26263.0,14427,"User 65 will move from grid 14427 to grid 14622, arriving around 2011-07-30 18:04:26."
16439,65,2011-07-30 14:32:57,2011-07-30 17:37:33,116.304616459,39.97108213,11076.0,14427,"User 65 will move from grid 14427 to grid 14614, arriving around 2011-08-05 19:15:08."
16711,65,2011-07-30 18:04:26,2011-08-03 09:43:00,116.307443983,40.025627267,315514.0,14622,"User 65 will move from grid 14622 to grid 15371, arriving around in about 4 days, on 2011-08-07."
16996,65,2011-08-03 10:01:25,2011-08-03 20:54:10,116.307554281,39.979931737,39165.0,14617,"User 65 will move from grid 14617 to grid 14805, arriving around 2011-08-25 14:53:38."
16997,65,2011-08-03 20:54:10,2011-08-04 08:56:36,116.328219828,39.983525402,43346.0,14806,"User 65 will move from grid 14806 to grid 14806, arriving around in about 2 weeks, specifically next Tuesday."
17234,65,2011-08-04 09:07:06,2011-08-05 18:19:38,116.30642141,39.979852442,119552.0,14617,"User 65 will move from grid 14617 to grid 14807, arriving around 2011-08-08 19:19:11."
17679,65,2011-08-05 19:15:08,2011-08-06 09:04:41,116.313051197,39.955673942,49773.0,14614,"User 65 will move from grid 14614 to grid 14427, arriving around in about 1 days, on 2011-08-07."
17905,65,2011-08-06 09:17:16,2011-08-06 11:48:09,116.304793023,39.979040677,9053.0,14428,"User 65 will move from grid 14428 to grid 16318, arriving around in about 3 weeks, specifically next Tuesday."
18004,65,2011-08-06 12:11:39,2011-08-06 14:41:09,116.305077534,39.980006377,8970.0,14617,"User 65 will move from grid 14617 to grid 14427, arriving around in about 4 weeks, specifically next Thursday."
18485,65,2011-08-06 15:16:28,2011-08-07 10:10:37,116.355474764,39.953083525,68049.0,15370,"User 65 will move from grid 15370 to grid 14426, arriving around later today, in the morning."
18515,65,2011-08-07 10:10:37,2011-08-07 11:00:27,116.328303155,39.981327217,2990.0,14806,"User 65 will move from grid 14806 to grid 14427, arriving around later today, in the evening."
18999,65,2011-08-07 11:11:32,2011-08-07 12:24:52,116.301513718,39.966075097,4400.0,14426,"User 65 will move from grid 14426 to grid 14805, arriving around in the next month."
20416,65,2011-08-07 13:41:43,2011-08-07 18:18:54,116.35488398,39.961658592,16631.0,15371,"User 65 will move from grid 15371 to grid 16318, arriving around 2011-08-30 13:46:24."
21207,65,2011-08-07 19:25:30,2011-08-07 19:58:15,116.297534138,39.970965904,1965.0,14427,"User 65 will move from grid 14427 to grid 14995, arriving around in about 2 days, on 2011-08-10."
21981,65,2011-08-07 20:52:36,2011-08-08 08:23:43,116.301463629,39.974168999,41467.0,14427,"User 65 will move from grid 14427 to grid 14806, arriving around in about 4 days, on 2011-08-12."
22078,65,2011-08-08 08:29:33,2011-08-08 18:36:36,116.313136726,39.979438631,36423.0,14617,"User 65 will move from grid 14617 to grid 14805, arriving around in about 1 days, on 2011-08-09."
22217,65,2011-08-08 18:36:36,2011-08-08 19:12:11,116.305652074,39.980072745,2135.0,14617,"User 65 will move from grid 14617 to grid 14424, arriving around 2011-08-13 18:37:22."
22421,65,2011-08-08 19:19:11,2011-08-08 20:14:53,116.326774505,39.989111345,3342.0,14807,"User 65 will move from grid 14807 to grid 14806, arriving around 2011-09-01 13:31:27."
22599,65,2011-08-08 20:14:53,2011-08-09 09:03:12,116.326675028,39.988947984,46099.0,14807,"User 65 will move from grid 14807 to grid 14426, arriving around in about 1 weeks, specifically next Tuesday."
22715,65,2011-08-09 09:03:12,2011-08-09 22:00:38,116.30462079,39.977341521,46646.0,14428,"User 65 will move from grid 14428 to grid 14806, arriving around in about 1 days, on 2011-08-11."
22928,65,2011-08-09 22:07:18,2011-08-10 08:47:13,116.32513478,39.975362408,38395.0,14805,"User 65 will move from grid 14805 to grid 14995, arriving around in about 2 weeks, specifically next Sunday."
23019,65,2011-08-10 08:48:03,2011-08-10 18:41:58,116.331051814,39.980008842,35635.0,14995,"User 65 will move from grid 14995 to grid 14806, arriving around in the next month."
23048,65,2011-08-10 18:42:53,2011-08-10 19:16:50,116.305587752,39.98003143,2037.0,14617,
23458,65,2011-08-10 19:16:50,2011-08-10 19:48:35,116.310683825,39.97106299,1905.0,14616,
24035,65,2011-08-10 20:13:35,2011-08-10 21:51:55,116.311990789,39.972287244,5900.0,14616,"User 65 will move from grid 14616 to grid 14808, arriving around in the next month."
24960,65,2011-08-10 22:08:15,2011-08-10 23:12:16,116.31317942,39.972903285,3841.0,14616,"User 65 will move from grid 14616 to grid 14806, arriving around 2011-08-11 21:35:52."
25511,65,2011-08-10 23:12:26,2011-08-10 23:42:37,116.305055198,39.980030757,1811.0,14617,
25671,65,2011-08-10 23:54:37,2011-08-11 00:24:45,116.325098514,39.975288269,1808.0,14805,"User 65 will move from grid 14805 to grid 14817, arriving around in about 2 weeks, specifically next Sunday."
25876,65,2011-08-11 00:24:55,2011-08-11 02:47:30,116.330638997,39.979084742,8555.0,14995,"User 65 will move from grid 14995 to grid 14806, arriving around in about 1 weeks, specifically next Thursday."
27314,65,2011-08-11 02:49:30,2011-08-11 08:58:34,116.324984307,39.97668859,22144.0,14806,
27496,65,2011-08-11 09:03:29,2011-08-11 21:22:02,116.31292303,39.975624487,44313.0,14616,"User 65 will move from grid 14616 to grid 15560, arriving around 2011-08-17 17:59:40."
27853,65,2011-08-11 21:35:52,2011-08-12 08:49:56,116.328379935,39.98001837,40444.0,14806,"User 65 will move from grid 14806 to grid 14424, arriving around in about 1 days, on 2011-08-13."
28027,65,2011-08-12 08:55:06,2011-08-12 21:39:58,116.313077539,39.975143125,45892.0,14616,"User 65 will move from grid 14616 to grid 16130, arriving around in about 2 weeks, specifically next Tuesday."
28331,65,2011-08-12 21:49:23,2011-08-13 14:24:59,116.325164609,39.979790351,59736.0,14806,"User 65 will move from grid 14806 to grid 14990, arriving around 2011-08-13 14:41:29."
29474,65,2011-08-13 14:41:29,2011-08-13 17:20:47,116.336353633,39.937208757,9558.0,14990,
31175,65,2011-08-13 17:34:47,2011-08-13 18:04:52,116.300955899,39.942149617,1805.0,14424,"User 65 will move from grid 14424 to grid 14995, arriving around in about 2 weeks, specifically next Sunday."
31678,65,2011-08-13 18:37:22,2011-08-16 18:17:59,116.297811606,39.944045674,258037.0,14424,"User 65 will move from grid 14424 to grid 14805, arriving around in about 3 days, on 2011-08-19."
32546,65,2011-08-16 18:29:39,2011-08-16 19:26:44,116.3132172,39.969534797,3425.0,14616,
32859,65,2011-08-16 19:30:39,2011-08-16 21:10:37,116.302370188,39.962079549,5998.0,14426,
33594,65,2011-08-16 22:02:42,2011-08-17 08:33:30,116.328418659,39.979945821,37848.0,14806,"User 65 will move from grid 14806 to grid 15370, arriving around in the next month."
33789,65,2011-08-17 08:37:35,2011-08-17 17:51:30,116.312889417,39.975057834,33235.0,14616,"User 65 will move from grid 14616 to grid 14805, arriving around in about 2 weeks, specifically next Monday."
34172,65,2011-08-17 17:59:40,2011-08-18 09:12:05,116.373414757,39.961843141,54745.0,15560,"User 65 will move from grid 15560 to grid 15746, arriving around 2011-08-19 19:04:07."
34318,65,2011-08-18 09:20:45,2011-08-18 21:22:44,116.312974769,39.975279363,43319.0,14616,"User 65 will move from grid 14616 to grid 14806, arriving around in about 3 weeks, specifically next Sunday."
34602,65,2011-08-18 21:37:49,2011-08-19 09:01:10,116.327016137,39.979892165,41001.0,14806,"User 65 will move from grid 14806 to grid 14427, arriving around in about 3 weeks, specifically next Wednesday."
34913,65,2011-08-19 09:06:40,2011-08-19 18:19:46,116.313099195,39.975017389,33186.0,14616,
35570,65,2011-08-19 19:04:07,2011-08-19 19:49:10,116.383898109,39.939053973,2703.0,15746,
37210,65,2011-08-19 21:24:35,2011-08-20 09:09:42,116.325116847,39.974964545,42307.0,14805,"User 65 will move from grid 14805 to grid 14806, arriving around 2011-08-20 13:05:14."
37370,65,2011-08-20 09:13:47,2011-08-20 10:50:23,116.313041115,39.975409629,5796.0,14616,
37535,65,2011-08-20 10:50:23,2011-08-20 11:20:36,116.305919022,39.980189157,1813.0,14617,
37797,65,2011-08-20 11:25:02,2011-08-20 12:04:57,116.305169188,39.980199393,2395.0,14617,
38416,65,2011-08-20 13:05:14,2011-08-25 00:43:55,116.325103423,39.979813626,387521.0,14806,
41922,65,2011-08-25 00:54:12,2011-08-25 14:49:36,116.30802,39.97985,50124.0,14617,"User 65 will move from grid 14617 to grid 14806, arriving around in about 5 days, on 2011-08-31."
44530,65,2011-08-25 14:53:38,2011-08-26 01:02:15,116.324978333333,39.975185,36517.0,14805,"User 65 will move from grid 14805 to grid 14995, arriving around in about 1 weeks, specifically next Friday."
46937,65,2011-08-26 01:12:04,2011-08-28 01:11:21,116.313088333333,39.9749566666667,172757.0,14616,"User 65 will move from grid 14616 to grid 17432, arriving around in about 2 days, on 2011-08-30."
48626,65,2011-08-28 01:11:21,2011-08-28 07:21:59,116.331148333333,39.9778083333333,22238.0,14995,"User 65 will move from grid 14995 to grid 15181, arriving around in about 2 weeks, specifically next Saturday."
56693,65,2011-08-28 07:54:24,2011-08-28 13:43:56,116.32653,40.07809,20972.0,14817,"User 65 will move from grid 14817 to grid 14428, arriving around in about 3 weeks, specifically next Wednesday."
61997,65,2011-08-28 14:09:10,2011-08-29 01:10:08,116.333161666667,39.978715,39658.0,14995,
65480,65,2011-08-29 01:15:34,2011-08-29 14:39:35,116.313145,39.9751483333333,48241.0,14616,
67483,65,2011-08-29 14:42:32,2011-08-30 00:50:18,116.325848333333,39.9753716666667,36466.0,14805,"User 65 will move from grid 14805 to grid 14427, arriving around 2011-09-08 02:00:01."
69856,65,2011-08-30 00:54:30,2011-08-30 10:51:10,116.313181666667,39.9748333333333,35800.0,14616,
81657,65,2011-08-30 11:45:21,2011-08-30 12:25:07,116.484228333333,39.8000816666667,2386.0,17432,
91404,65,2011-08-30 13:07:34,2011-08-30 13:44:55,116.410755,39.985805,2241.0,16130,
93345,65,2011-08-30 13:46:24,2011-08-30 14:29:53,116.412713333333,39.9803033333333,2609.0,16318,
95075,65,2011-08-30 14:29:53,2011-08-30 15:05:33,116.411178333333,39.9800566666667,2140.0,16318,
97692,65,2011-08-30 15:12:02,2011-08-31 00:49:54,116.32508,39.9748966666667,34672.0,14805,
103512,65,2011-08-31 01:04:18,2011-08-31 14:19:29,116.3131,39.9747366666667,47711.0,14616,"User 65 will move from grid 14616 to grid 14806, arriving around in about 2 weeks, specifically next Sunday."
107726,65,2011-08-31 14:30:14,2011-09-01 00:52:43,116.32838,39.9800366666667,37349.0,14806,"User 65 will move from grid 14806 to grid 14427, arriving around 2011-09-07 12:31:11."
110957,65,2011-09-01 01:02:03,2011-09-01 01:32:42,116.307703333333,39.981045,1839.0,14617,"User 65 will move from grid 14617 to grid 14427, arriving around in about 1 weeks, specifically next Thursday."
111793,65,2011-09-01 01:38:49,2011-09-01 11:10:21,116.294483333333,39.9737533333333,34292.0,14427,"User 65 will move from grid 14427 to grid 14805, arriving around in about 2 weeks, specifically next Wednesday."
111794,65,2011-09-01 11:10:21,2011-09-01 13:22:13,116.305806666667,39.9778583333333,7912.0,14617,
115418,65,2011-09-01 13:31:27,2011-09-02 01:16:06,116.328335,39.9800266666667,42279.0,14806,"User 65 will move from grid 14806 to grid 14805, arriving around 2011-09-05 11:06:54."
118414,65,2011-09-02 01:20:48,2011-09-02 10:37:45,116.312968333333,39.975205,33417.0,14616,"User 65 will move from grid 14616 to grid 14805, arriving around 2011-09-17 03:17:10."
123772,65,2011-09-02 11:05:25,2011-09-05 10:53:27,116.332701666667,39.9776516666667,258482.0,14995,
129289,65,2011-09-05 11:06:54,2011-09-06 01:05:46,116.32497,39.9752333333333,50332.0,14805,
132629,65,2011-09-06 01:10:01,2011-09-07 10:30:29,116.306641666667,39.979395,120028.0,14617,
134177,65,2011-09-07 10:30:29,2011-09-07 11:15:07,116.320343333333,39.9659433333333,2678.0,14804,"User 65 will move from grid 14804 to grid 14805, arriving around 2011-09-21 12:34:02."
140185,65,2011-09-07 11:26:16,2011-09-07 11:57:16,116.324941666667,39.963935,1860.0,14804,
144051,65,2011-09-07 12:31:11,2011-09-07 13:02:12,116.301425,39.974005,1861.0,14427,
146763,65,2011-09-07 13:02:13,2011-09-08 02:00:01,116.30134,39.97433,46668.0,14427,
155359,65,2011-09-08 02:00:01,2011-09-08 02:42:52,116.300581666667,39.9710666666667,2571.0,14427,"User 65 will move from grid 14427 to grid 14806, arriving around 2011-09-11 13:34:44."
160895,65,2011-09-08 02:55:24,2011-09-08 03:47:22,116.297375,39.97116,3118.0,14427,"User 65 will move from grid 14427 to grid 14805, arriving around 2011-09-08 14:22:27."
161883,65,2011-09-08 03:50:44,2011-09-08 04:37:22,116.31311,39.9715783333333,2798.0,14616,
