,userID,stime,etime,lon,lat,duration,grid,context_fuzzy,context_precise
1218,154,2007-05-08 12:39:10,2007-05-09 01:37:33,116.348933333333,39.9753833333333,46703.0,15183,"User 154 will move from grid 15183 to grid 15373, at 2007-05-09 13:28:22.","User 154 will move from grid 15183 to grid 15373, at 2007-05-09 13:28:22."
1306,154,2007-05-09 01:48:24,2007-05-09 12:55:49,116.3366,39.9753833333333,40045.0,14994,,
1432,154,2007-05-09 13:28:22,2007-05-10 01:31:41,116.353716666667,39.9799666666667,43399.0,15373,,
1510,154,2007-05-10 01:43:22,2007-05-10 12:56:16,116.33635,39.9753666666667,40374.0,14994,,
1542,154,2007-05-10 12:56:16,2007-05-11 14:52:49,116.336783333333,39.9753166666667,93393.0,14994,,
1623,154,2007-05-11 15:10:53,2007-05-12 03:53:01,116.348766666667,39.9753833333333,45728.0,15183,,
1801,154,2007-05-12 04:38:23,2007-05-12 11:28:43,116.328033333333,39.9711333333333,24620.0,14805,,
1885,154,2007-05-12 11:33:12,2007-05-12 13:56:49,116.336583333333,39.9757666666667,8617.0,14994,,
1925,154,2007-05-12 14:11:27,2007-05-13 14:07:10,116.349333333333,39.9754333333333,86143.0,15183,,
2006,154,2007-05-13 14:23:13,2007-05-14 01:13:48,116.348716666667,39.97545,39035.0,15183,,
2101,154,2007-05-14 01:24:47,2007-05-14 14:27:16,116.336733333333,39.9752666666667,46949.0,14994,,
2158,154,2007-05-14 14:38:18,2007-05-15 01:37:45,116.348583333333,39.97545,39567.0,15183,,
2255,154,2007-05-15 01:49:02,2007-05-15 14:18:57,116.336283333333,39.9751833333333,44995.0,14994,,
2321,154,2007-05-15 14:30:43,2007-05-16 01:07:41,116.34865,39.97535,38218.0,15183,,
2401,154,2007-05-16 01:31:10,2007-05-16 14:35:34,116.336283333333,39.9753333333333,47064.0,14994,,
2467,154,2007-05-16 14:47:40,2007-05-17 01:01:52,116.34855,39.9753333333333,36852.0,15183,,
2543,154,2007-05-17 01:26:48,2007-05-17 14:05:32,116.336166666667,39.9753,45524.0,14994,,
2584,154,2007-05-17 14:16:23,2007-05-18 01:09:18,116.349083333333,39.9754666666667,39175.0,15183,,
2686,154,2007-05-18 01:29:58,2007-05-20 06:48:29,116.33645,39.9753333333333,191911.0,14994,,
2717,154,2007-05-20 06:48:29,2007-05-20 07:27:04,116.324933333333,39.9752,2315.0,14805,,
2742,154,2007-05-20 07:27:04,2007-05-20 14:13:24,116.325416666667,39.97535,24380.0,14805,,
2801,154,2007-05-20 14:18:53,2007-05-21 01:12:16,116.34905,39.9751333333333,39203.0,15183,,
2835,154,2007-05-21 01:17:26,2007-05-21 14:26:26,116.33615,39.9752666666667,47340.0,14994,,
