,userID,stime,etime,lon,lat,duration,grid,context_fuzzy,context_precise
16,82,2007-05-24 10:45:29,2007-05-24 11:22:22,116.336816666667,39.9753833333333,2213.0,14994,"User 82 will move from grid 14994 to grid 15183, arriving around in about 2 weeks, specifically next Wednesday.","User 82 will move from grid 14994 to grid 15183, at 2007-06-06 12:02:30."
47,82,2007-06-06 12:02:30,2007-06-06 14:18:48,116.346816666667,39.9694166666667,8178.0,15183,"User 82 will move from grid 15183 to grid 16499, arriving around in about 22 months.","User 82 will move from grid 15183 to grid 16499, at 2009-04-04 04:31:47."
113,82,2007-06-06 14:28:18,2007-06-07 15:21:59,116.3363,39.9752166666667,89621.0,14994,"User 82 will move from grid 14994 to grid 14994, arriving around in about 22 months.","User 82 will move from grid 14994 to grid 14994, at 2009-03-27 12:26:32."
178,82,2007-06-07 15:21:59,2007-06-08 01:20:44,116.328483333333,39.9800833333333,35925.0,14806,"User 82 will move from grid 14806 to grid 12914, arriving around in about 6 months.","User 82 will move from grid 14806 to grid 12914, at 2007-11-28 13:12:25."
187,82,2007-06-08 01:20:44,2007-06-12 12:44:59,116.328033333333,39.97935,386655.0,14806,"User 82 will move from grid 14806 to grid 14994, arriving around in about 14 months.","User 82 will move from grid 14806 to grid 14994, at 2008-07-31 11:03:55."
204,82,2007-06-12 12:44:59,2007-06-19 00:53:16,116.32835,39.98035,562097.0,14806,"User 82 will move from grid 14806 to grid 12728, arriving around in about 11 months.","User 82 will move from grid 14806 to grid 12728, at 2008-05-16 06:03:37."
510,82,2007-06-19 00:53:16,2007-06-20 15:32:06,116.33015,39.9770166666667,139130.0,14995,"User 82 will move from grid 14995 to grid 16126, at 2009-03-07 09:25:38.","User 82 will move from grid 14995 to grid 16126, at 2009-03-07 09:25:38."
548,82,2007-06-20 15:32:06,2007-06-21 01:57:15,116.328266666667,39.98025,37509.0,14806,,
555,82,2007-06-21 01:57:15,2007-06-22 14:48:24,116.329066666667,39.9787666666667,132669.0,14995,"User 82 will move from grid 14995 to grid 18975, arriving around in about 14 months.","User 82 will move from grid 14995 to grid 18975, at 2008-08-01 05:41:42."
586,82,2007-06-22 14:48:24,2007-06-23 12:40:29,116.328316666667,39.9801333333333,78725.0,14806,"User 82 will move from grid 14806 to grid 15935, arriving around in about 22 months.","User 82 will move from grid 14806 to grid 15935, at 2009-04-18 05:34:32."
593,82,2007-06-23 12:40:29,2007-06-23 14:37:38,116.32905,39.9780666666667,7029.0,14995,,
632,82,2007-06-23 14:37:38,2007-06-25 01:03:01,116.328383333333,39.9802166666667,123923.0,14806,"User 82 will move from grid 14806 to grid 14993, arriving around in about 22 months.","User 82 will move from grid 14806 to grid 14993, at 2009-04-04 09:25:03."
641,82,2007-06-25 01:03:01,2007-06-25 14:02:02,116.32845,39.9795333333333,46741.0,14806,,
681,82,2007-06-25 14:02:02,2007-06-26 01:27:07,116.327583333333,39.9800833333333,41105.0,14806,"User 82 will move from grid 14806 to grid 15949, arriving around in about 21 months.","User 82 will move from grid 14806 to grid 15949, at 2009-03-23 20:34:16."
804,82,2007-11-28 13:12:25,2007-11-28 17:12:37,116.2066,39.9669899,14412.0,12914,,
1742,82,2008-05-16 06:03:37,2008-05-16 09:35:47,116.19858,39.989036,12730.0,12728,,
3506,82,2008-07-30 14:42:53,2008-07-31 11:03:55,116.399966,40.051934,73262.0,16137,"User 82 will move from grid 16137 to grid 14994, arriving around in about 9 months.","User 82 will move from grid 16137 to grid 14994, at 2009-04-13 12:17:08."
3509,82,2008-07-31 11:03:55,2008-07-31 12:45:05,116.33067,39.975335,6070.0,14994,"User 82 will move from grid 14994 to grid 19164, arriving around later today, in the morning.","User 82 will move from grid 14994 to grid 19164, at 2008-08-01 06:57:26."
5071,82,2008-07-31 13:18:23,2008-08-01 05:10:38,116.401721,40.05204,57135.0,16137,,
6043,82,2008-08-01 05:41:42,2008-08-01 06:57:22,116.584557,40.077022,4540.0,18975,"User 82 will move from grid 18975 to grid 15948, arriving around in about 8 months.","User 82 will move from grid 18975 to grid 15948, at 2009-03-16 18:05:15."
6685,82,2008-08-01 06:57:26,2008-08-01 08:25:38,116.587943,40.077062,5292.0,19164,,
41088,82,2009-03-07 09:25:38,2009-03-07 13:46:23,116.407409,39.957751,15645.0,16126,"User 82 will move from grid 16126 to grid 16318, at 2009-03-11 12:28:46.","User 82 will move from grid 16126 to grid 16318, at 2009-03-11 12:28:46."
43434,82,2009-03-07 14:53:34,2009-03-08 00:12:39,116.402471,40.051766,33545.0,16137,,
43446,82,2009-03-08 00:12:39,2009-03-08 00:45:04,116.400774,40.052263,1945.0,16137,,
43633,82,2009-03-08 00:45:14,2009-03-09 12:12:10,116.401096,40.052184,127616.0,16137,,
45714,82,2009-03-09 13:56:40,2009-03-10 00:49:35,116.400351,40.052063,39175.0,16137,"User 82 will move from grid 16137 to grid 15741, arriving around in the next month.","User 82 will move from grid 16137 to grid 15741, at 2009-04-11 09:46:07."
46145,82,2009-03-10 01:23:35,2009-03-10 13:19:49,116.332894,39.979849,42974.0,14995,,
47881,82,2009-03-10 13:52:19,2009-03-10 15:46:40,116.401808,40.052022,6861.0,16137,,
49360,82,2009-03-10 15:50:25,2009-03-10 16:41:22,116.401593,40.052089,3057.0,16137,"User 82 will move from grid 16137 to grid 14994, at 2009-03-11 01:42:53.","User 82 will move from grid 16137 to grid 14994, at 2009-03-11 01:42:53."
49970,82,2009-03-10 16:43:40,2009-03-10 17:19:16,116.400965,40.05205,2136.0,16137,"User 82 will move from grid 16137 to grid 16136, arriving around in about 2 weeks, specifically next Sunday.","User 82 will move from grid 16137 to grid 16136, at 2009-03-22 15:06:44."
50519,82,2009-03-10 17:19:19,2009-03-11 01:04:49,116.400942,40.052022,27930.0,16137,,
51012,82,2009-03-11 01:42:53,2009-03-11 11:20:22,116.331905,39.975501,34649.0,14994,,
51959,82,2009-03-11 12:28:46,2009-03-11 13:06:07,116.419221,39.981736,2241.0,16318,,
53713,82,2009-03-11 14:24:31,2009-03-11 15:37:43,116.400798,40.052024,4392.0,16137,,
54880,82,2009-03-11 15:52:34,2009-03-11 16:23:52,116.400075,40.051977,1878.0,16137,"User 82 will move from grid 16137 to grid 17258, arriving around in about 3 weeks, specifically next Saturday.","User 82 will move from grid 16137 to grid 17258, at 2009-04-04 05:44:03."
55045,82,2009-03-11 16:31:34,2009-03-11 17:08:55,116.401104,40.052043,2241.0,16137,,
56035,82,2009-03-11 17:50:10,2009-03-11 18:20:31,116.399989,40.051976,1821.0,16137,,
56738,82,2009-03-11 18:29:49,2009-03-11 19:18:16,116.401227,40.051974,2907.0,16137,"User 82 will move from grid 16137 to grid 15746, arriving around in the next month.","User 82 will move from grid 16137 to grid 15746, at 2009-04-18 07:32:37."
58821,82,2009-03-11 20:31:19,2009-03-12 01:06:39,116.40103,40.052038,16520.0,16137,,
59751,82,2009-03-12 01:44:52,2009-03-16 14:08:27,116.332946,39.979619,390215.0,14995,,
60919,82,2009-03-16 14:55:42,2009-03-16 15:28:51,116.401961,40.052011,1989.0,16137,,
63314,82,2009-03-16 18:05:15,2009-03-17 01:15:02,116.398397,40.052031,25787.0,15948,,
63328,82,2009-03-17 01:15:02,2009-03-18 00:46:37,116.331638,39.976888,84695.0,14995,"User 82 will move from grid 14995 to grid 16307, at 2009-04-11 08:59:41.","User 82 will move from grid 14995 to grid 16307, at 2009-04-11 08:59:41."
63871,82,2009-03-18 01:11:46,2009-03-18 14:08:31,116.332903,39.979791,46605.0,14995,,
65347,82,2009-03-18 14:40:57,2009-03-19 00:31:53,116.401782,40.052033,35456.0,16137,,
66714,82,2009-03-19 01:05:20,2009-03-19 13:50:56,116.332909,39.98006,45936.0,14995,,
68219,82,2009-03-19 14:23:51,2009-03-20 01:24:03,116.401984,40.052014,39612.0,16137,,
69556,82,2009-03-20 01:57:10,2009-03-20 12:42:05,116.332841,39.980061,38695.0,14995,"User 82 will move from grid 14995 to grid 15935, arriving around in about 4 weeks, specifically next Saturday.","User 82 will move from grid 14995 to grid 15935, at 2009-04-18 09:57:53."
70980,82,2009-03-20 13:54:28,2009-03-22 14:17:00,116.401617,40.052037,174152.0,16137,,
