,userID,stime,etime,lon,lat,duration,grid,context_fuzzy,context_precise
90,106,2007-10-08 02:48:42,2007-10-08 03:33:58,116.48335,39.8877333333333,2716.0,17442,"User 106 will move from grid 17442 to grid 16502, arriving around in about 2 days, on 2007-10-10.","User 106 will move from grid 17442 to grid 16502, at 2007-10-10 06:14:31."
264,106,2007-10-08 05:26:36,2007-10-08 07:19:01,116.418833333333,39.9767166666667,6745.0,16318,"User 106 will move from grid 16318 to grid 13097, arriving around later today, in the afternoon.","User 106 will move from grid 16318 to grid 13097, at 2007-10-08 12:57:24."
290,106,2007-10-08 07:36:02,2007-10-08 08:37:05,116.48285,39.8867166666667,3663.0,17442,"User 106 will move from grid 17442 to grid 18025, at 2007-10-09 00:58:37.","User 106 will move from grid 17442 to grid 18025, at 2007-10-09 00:58:37."
541,106,2007-10-08 09:49:53,2007-10-08 10:47:08,116.455183333333,39.9983333333333,3435.0,16887,"User 106 will move from grid 16887 to grid 17074, at 2007-10-09 02:18:48.","User 106 will move from grid 16887 to grid 17074, at 2007-10-09 02:18:48."
576,106,2007-10-08 11:04:46,2007-10-08 11:44:52,116.472116666667,39.97795,2406.0,17263,"User 106 will move from grid 17263 to grid 17836, arriving around later today, late at night.","User 106 will move from grid 17263 to grid 17836, at 2007-10-09 04:01:42."
680,106,2007-10-08 12:57:24,2007-10-08 14:31:55,116.211966666667,39.9083,5671.0,13097,,
749,106,2007-10-08 15:05:26,2007-10-08 23:19:38,116.454716666667,39.9981166666667,29652.0,16887,,
912,106,2007-10-09 00:58:37,2007-10-09 01:58:26,116.5236,40.0335666666667,3589.0,18025,"User 106 will move from grid 18025 to grid 16877, at 2007-10-10 04:33:16.","User 106 will move from grid 18025 to grid 16877, at 2007-10-10 04:33:16."
958,106,2007-10-09 02:18:48,2007-10-09 03:37:40,116.462116666667,39.97785,4732.0,17074,"User 106 will move from grid 17074 to grid 14996, arriving around later today, in the morning.","User 106 will move from grid 17074 to grid 14996, at 2007-10-09 06:40:23."
1020,106,2007-10-09 04:01:42,2007-10-09 04:42:59,116.512133333333,40.0306333333333,2477.0,17836,"User 106 will move from grid 17836 to grid 13106, arriving around later today, in the afternoon.","User 106 will move from grid 17836 to grid 13106, at 2007-10-09 12:30:43."
1157,106,2007-10-09 06:40:23,2007-10-09 09:18:04,116.334416666667,39.9911666666667,9461.0,14996,,
1308,106,2007-10-09 10:15:31,2007-10-09 11:00:20,116.407366666667,39.9071166666667,2689.0,16121,,
1478,106,2007-10-09 12:30:43,2007-10-09 14:14:49,116.214933333333,39.9869666666667,6246.0,13106,,
1523,106,2007-10-09 14:46:27,2007-10-09 23:48:01,116.455333333333,39.9983833333333,32494.0,16887,,
1600,106,2007-10-10 00:47:48,2007-10-10 01:35:14,116.407283333333,39.9075333333333,2846.0,16121,,
1671,106,2007-10-10 03:05:02,2007-10-10 04:17:08,116.4835,39.88705,4326.0,17442,,
1714,106,2007-10-10 04:33:16,2007-10-10 05:56:51,116.44955,39.9120833333333,5015.0,16877,,
1745,106,2007-10-10 06:14:31,2007-10-10 07:46:00,116.428016666667,39.9375,5489.0,16502,,
1800,106,2007-10-10 08:02:31,2007-10-10 11:14:01,116.455133333333,39.9983833333333,11490.0,16887,,
