,userID,stime,etime,lon,lat,duration,grid,context_fuzzy,context_precise
0,92,2007-11-30 14:36:01,2007-11-30 17:55:42,116.3310483,39.9750066,11981.0,14994,"User 92 will move from grid 14994 to grid 16882, arriving around in about 2 months.","User 92 will move from grid 14994 to grid 16882, at 2008-01-22 13:36:33."
63,92,2007-11-30 18:03:37,2007-12-01 09:21:20,116.3316649,39.9049333,55063.0,14987,"User 92 will move from grid 14987 to grid 14803, arriving around in about 4 months.","User 92 will move from grid 14987 to grid 14803, at 2008-03-30 00:39:47."
89,92,2007-12-01 09:38:59,2007-12-01 10:51:35,116.3102399,39.9814316,4356.0,14617,"User 92 will move from grid 14617 to grid 14609, arriving around in the next month.","User 92 will move from grid 14617 to grid 14609, at 2008-01-10 08:35:38."
142,92,2007-12-01 11:09:21,2007-12-01 12:38:07,116.3142949,39.9680266,5326.0,14616,"User 92 will move from grid 14616 to grid 14426, arriving around in about 4 days, on 2007-12-05.","User 92 will move from grid 14616 to grid 14426, at 2007-12-05 14:54:47."
156,92,2007-12-01 12:38:07,2007-12-02 15:42:09,116.3103433,39.9695233,97442.0,14616,"User 92 will move from grid 14616 to grid 14997, arriving around in about 2 weeks, specifically next Sunday.","User 92 will move from grid 14616 to grid 14997, at 2007-12-16 15:55:07."
165,92,2007-12-02 15:42:09,2007-12-02 17:21:13,116.3116716,39.9746933,5944.0,14616,"User 92 will move from grid 14616 to grid 17068, arriving around in about 2 months.","User 92 will move from grid 14616 to grid 17068, at 2008-01-18 09:10:59."
174,92,2007-12-02 17:21:13,2007-12-02 18:10:11,116.3058316,39.9808616,2938.0,14617,"User 92 will move from grid 14617 to grid 14798, arriving around in about 3 weeks, specifically next Friday.","User 92 will move from grid 14617 to grid 14798, at 2007-12-21 18:44:01."
212,92,2007-12-02 18:18:26,2007-12-04 16:10:30,116.3124266,39.9676,165124.0,14616,"User 92 will move from grid 14616 to grid 16505, arriving around in the next month.","User 92 will move from grid 14616 to grid 16505, at 2008-01-17 14:45:09."
250,92,2007-12-04 16:10:30,2007-12-05 14:47:17,116.30433,39.9712166,81407.0,14427,"User 92 will move from grid 14427 to grid 16694, arriving around in about 3 months.","User 92 will move from grid 14427 to grid 16694, at 2008-03-17 09:17:18."
296,92,2007-12-05 14:54:47,2007-12-05 16:07:12,116.3016383,39.9620166,4345.0,14426,"User 92 will move from grid 14426 to grid 14617, arriving around in about 2 weeks, specifically next Thursday.","User 92 will move from grid 14426 to grid 14617, at 2007-12-20 08:36:52."
299,92,2007-12-05 16:07:12,2007-12-05 16:40:51,116.3387766,39.9139,2019.0,14988,"User 92 will move from grid 14988 to grid 14609, at 2008-05-02 03:49:46.","User 92 will move from grid 14988 to grid 14609, at 2008-05-02 03:49:46."
313,92,2007-12-05 16:51:44,2007-12-05 17:51:55,116.4080933,39.9534866,3611.0,16126,"User 92 will move from grid 16126 to grid 14617, at 2007-12-19 12:34:35.","User 92 will move from grid 16126 to grid 14617, at 2007-12-19 12:34:35."
465,92,2007-12-05 19:07:13,2007-12-07 09:32:47,116.3027433,39.9702416,138334.0,14427,"User 92 will move from grid 14427 to grid 14990, at 2007-12-07 10:01:06.","User 92 will move from grid 14427 to grid 14990, at 2007-12-07 10:01:06."
535,92,2007-12-07 10:01:06,2007-12-07 14:42:30,116.3301933,39.93646,16884.0,14990,"User 92 will move from grid 14990 to grid 16694, arriving around in about 4 months.","User 92 will move from grid 14990 to grid 16694, at 2008-03-22 00:27:29."
569,92,2007-12-07 14:43:47,2007-12-08 12:22:43,116.32668,39.9713483,77936.0,14805,"User 92 will move from grid 14805 to grid 14617, at 2007-12-19 18:12:51.","User 92 will move from grid 14805 to grid 14617, at 2007-12-19 18:12:51."
581,92,2007-12-08 12:27:26,2007-12-10 08:39:35,116.3120383,39.9726366,159129.0,14616,"User 92 will move from grid 14616 to grid 14994, arriving around in about 2 weeks, specifically next Thursday.","User 92 will move from grid 14616 to grid 14994, at 2007-12-27 09:29:42."
630,92,2007-12-10 08:48:15,2007-12-10 11:14:16,116.3072266,39.9812566,8761.0,14617,"User 92 will move from grid 14617 to grid 16694, arriving around in about 2 months.","User 92 will move from grid 14617 to grid 16694, at 2008-01-24 15:24:51."
708,92,2007-12-10 11:44:50,2007-12-11 16:43:02,116.3098483,39.9557033,104292.0,14614,,
732,92,2007-12-11 17:34:55,2007-12-14 15:35:23,116.3040933,39.9713816,252028.0,14427,"User 92 will move from grid 14427 to grid 14808, at 2007-12-16 09:15:59.","User 92 will move from grid 14427 to grid 14808, at 2007-12-16 09:15:59."
994,92,2007-12-14 15:49:45,2007-12-14 17:31:16,116.30517,39.971075,6091.0,14616,"User 92 will move from grid 14616 to grid 14240, at 2007-12-14 17:45:16.","User 92 will move from grid 14616 to grid 14240, at 2007-12-14 17:45:16."
1038,92,2007-12-14 17:45:16,2007-12-15 12:34:49,116.2895849,39.9932899,67773.0,14240,"User 92 will move from grid 14240 to grid 14992, arriving around in about 3 months.","User 92 will move from grid 14240 to grid 14992, at 2008-03-28 02:51:08."
1050,92,2007-12-15 12:35:32,2007-12-16 08:39:06,116.3127199,39.9721916,72214.0,14616,,
1200,92,2007-12-16 09:15:59,2007-12-16 15:30:39,116.31917,39.9977899,22480.0,14808,"User 92 will move from grid 14808 to grid 7652, arriving around in about 2 weeks, specifically next Friday.","User 92 will move from grid 14808 to grid 7652, at 2007-12-28 13:23:01."
1316,92,2007-12-16 15:55:07,2007-12-17 10:37:47,116.3388283,39.999225,67360.0,14997,,
1318,92,2007-12-17 10:37:47,2007-12-17 11:08:23,116.3002049,39.9690533,1836.0,14427,"User 92 will move from grid 14427 to grid 16323, arriving around in about 8 months.","User 92 will move from grid 14427 to grid 16323, at 2008-08-17 08:03:32."
1351,92,2007-12-17 11:09:01,2007-12-18 08:32:55,116.3014283,39.9705516,77034.0,14427,"User 92 will move from grid 14427 to grid 14993, arriving around in about 3 months.","User 92 will move from grid 14427 to grid 14993, at 2008-03-18 12:02:35."
1352,92,2007-12-18 08:32:55,2007-12-19 12:34:35,116.3114016,39.9763199,100900.0,14616,"User 92 will move from grid 14616 to grid 16882, arriving around in about 2 weeks, specifically next Tuesday.","User 92 will move from grid 14616 to grid 16882, at 2008-01-01 09:52:18."
1511,92,2007-12-19 12:34:35,2007-12-19 18:12:51,116.3078266,39.9802983,20296.0,14617,"User 92 will move from grid 14617 to grid 16883, arriving around in the next month.","User 92 will move from grid 14617 to grid 16883, at 2008-01-23 09:05:05."
1519,92,2007-12-19 18:12:51,2007-12-20 08:36:15,116.3101166,39.9797516,51804.0,14617,"User 92 will move from grid 14617 to grid 14054, arriving around in about 5 months.","User 92 will move from grid 14617 to grid 14054, at 2008-05-10 11:21:53."
1682,92,2007-12-20 08:36:52,2007-12-20 17:39:00,116.3068533,39.9789949,32528.0,14617,"User 92 will move from grid 14617 to grid 16129, arriving around in about 7 months.","User 92 will move from grid 14617 to grid 16129, at 2008-07-25 17:48:35."
1723,92,2007-12-20 17:39:40,2007-12-20 18:10:32,116.303845,39.9711916,1852.0,14427,,
1735,92,2007-12-20 18:10:32,2007-12-21 08:32:21,116.3042766,39.9710249,51709.0,14427,"User 92 will move from grid 14427 to grid 16694, arriving around in the next month.","User 92 will move from grid 14427 to grid 16694, at 2008-01-22 09:53:28."
1747,92,2007-12-21 08:32:21,2007-12-21 18:42:02,116.3121033,39.9727916,36581.0,14616,"User 92 will move from grid 14616 to grid 14426, at 2007-12-23 09:37:47.","User 92 will move from grid 14616 to grid 14426, at 2007-12-23 09:37:47."
1831,92,2007-12-21 18:44:01,2007-12-23 08:50:43,116.3270766,39.9120616,137202.0,14798,"User 92 will move from grid 14798 to grid 16694, arriving around in about 2 months.","User 92 will move from grid 14798 to grid 16694, at 2008-02-25 09:05:05."
1888,92,2007-12-23 09:37:47,2007-12-23 14:57:35,116.2942099,39.9597016,19188.0,14426,"User 92 will move from grid 14426 to grid 15561, arriving around in about 4 weeks, specifically next Friday.","User 92 will move from grid 14426 to grid 15561, at 2008-01-18 13:44:21."
1912,92,2007-12-23 15:02:45,2007-12-27 09:20:41,116.3014116,39.9692183,325076.0,14427,"User 92 will move from grid 14427 to grid 14617, arriving around in about 3 weeks, specifically next Saturday.","User 92 will move from grid 14427 to grid 14617, at 2008-01-19 10:07:35."
1932,92,2007-12-27 09:29:42,2007-12-27 10:33:04,116.3291066,39.9751316,3802.0,14994,"User 92 will move from grid 14994 to grid 16508, arriving around in the next month.","User 92 will move from grid 14994 to grid 16508, at 2008-01-27 15:03:35."
2026,92,2007-12-27 10:53:52,2007-12-28 10:54:15,116.3022033,39.97141,86423.0,14427,"User 92 will move from grid 14427 to grid 17252, arriving around in about 3 days, on 2008-01-01.","User 92 will move from grid 14427 to grid 17252, at 2008-01-01 10:27:15."
2266,92,2007-12-28 11:13:13,2007-12-28 12:53:25,116.3042016,39.9710549,6012.0,14427,,
2424,92,2007-12-28 13:23:01,2007-12-30 17:19:10,115.8764899,40.2321566,186969.0,7652,"User 92 will move from grid 7652 to grid 17635, arriving around in about 3 weeks, specifically next Friday.","User 92 will move from grid 7652 to grid 17635, at 2008-01-18 15:53:54."
2425,92,2007-12-30 17:19:10,2008-01-01 09:09:47,116.3119399,39.9717116,143437.0,14616,"User 92 will move from grid 14616 to grid 16694, arriving around in about 3 weeks, specifically next Monday.","User 92 will move from grid 14616 to grid 16694, at 2008-01-21 09:14:00."
2660,92,2008-01-01 09:52:18,2008-01-01 10:27:15,116.4546349,39.9523016,2097.0,16882,"User 92 will move from grid 16882 to grid 14803, arriving around in about 3 months.","User 92 will move from grid 16882 to grid 14803, at 2008-03-29 00:32:24."
2661,92,2008-01-01 10:27:15,2008-01-01 16:43:07,116.4745916,39.8786983,22552.0,17252,"User 92 will move from grid 17252 to grid 14615, arriving around in about 6 months.","User 92 will move from grid 17252 to grid 14615, at 2008-07-05 08:46:39."
2939,92,2008-01-01 17:53:38,2008-01-05 14:27:08,116.3113383,39.9675616,333210.0,14616,"User 92 will move from grid 14616 to grid 17635, arriving around in about 3 weeks, specifically next Friday.","User 92 will move from grid 14616 to grid 17635, at 2008-01-25 13:52:37."
2993,92,2008-01-05 14:32:58,2008-01-09 20:50:16,116.3023783,39.97434,368238.0,14427,,
3244,92,2008-01-09 21:31:20,2008-01-09 22:29:50,116.3029616,39.9708133,3510.0,14427,"User 92 will move from grid 14427 to grid 14612, arriving around in about 2 months.","User 92 will move from grid 14427 to grid 14612, at 2008-02-26 08:18:15."
3365,92,2008-01-09 23:13:50,2008-01-10 08:33:06,116.30676,39.9748666,33556.0,14616,"User 92 will move from grid 14616 to grid 17635, arriving around in about 2 months.","User 92 will move from grid 14616 to grid 17635, at 2008-03-01 09:43:56."
3410,92,2008-01-10 08:35:38,2008-01-10 18:44:32,116.3130683,39.9113933,36534.0,14609,"User 92 will move from grid 14609 to grid 16694, arriving around in about 2 months.","User 92 will move from grid 14609 to grid 16694, at 2008-03-24 07:11:48."
3411,92,2008-01-10 18:44:32,2008-01-11 18:11:26,116.3106866,39.9746366,84414.0,14616,,
3715,92,2008-01-11 18:47:22,2008-01-11 20:06:43,116.307545,39.9699683,4761.0,14616,"User 92 will move from grid 14616 to grid 15393, arriving around in about 3 months.","User 92 will move from grid 14616 to grid 15393, at 2008-04-12 00:57:42."
3803,92,2008-01-11 20:12:43,2008-01-17 13:36:24,116.3131766,39.9683866,494621.0,14616,"User 92 will move from grid 14616 to grid 18016, at 2008-02-26 09:00:29.","User 92 will move from grid 14616 to grid 18016, at 2008-02-26 09:00:29."
3919,92,2008-01-17 13:36:24,2008-01-17 14:28:07,116.3132016,39.9686149,3103.0,14616,,
