14428,14808,14809,14809,14800,14809,14432,14620,14809,14805
14808,14431,14431,14620,14806,14807,14431,14620,14808,14809
14809,14809,14803,14808,14810,14809,14809,14809,14809,14809
14809,14809,14809,14809,14808,14808,14809,14809,14429,14809
14808,14809,14617,14809,14808,14809,14809,14809,14809,14808
14808,14809,14809,14808,14809,14809,14809,14809,14808,14808
14809,14808,14808,14808,14809,14808,14808,14809,14808,14809
14808,14808,14809,14808,14809,14809,14808,14809,14809,14809
14052,14806,16121,14620,14808,15558,15746,15558,14809,19164
14809,14808,14808,14807,14808,14809,14808,14404,14808,14809
14809,14808,14404,14808,14809,14808,14404,14808,14809,14808
14404,14808,14809,14404,14808,14995,22363,22173,17255,14808
14809,14809,14808,14809,14808,14808,14809,14809,14808,14809
14808,14809,14808,14808,14809,14995,22362,22173,17255,14808
14809,14808,14809,14809,14808,14809,14808,14809,14809,14808
14806,14808,14808,14809,14809,14809,14809,14808,14809,14809
14808,14808,14809,14809,14808,15180,16310,14808,14995,22363
22173,22363,22173,22173,22362,17255,14808,14808,14808,14620
14808,14809,14809,14808,14809,14809,14808,14809,14808,14808
14808,14808,14808,14808,14808,14808,14808,14809,14808,19164
14620,14809,14801,14612,14613,14803,14620,14809,14809,14619
14431,14809,14997,14620,15367,15554,15554,14620,19164,14808
14809,14808,14808,14809,14809,14808,14809,14809,14808,14809
14808,14808,14809,14808,14809,14808,14808,14809,14808,14808
14808,14809,14809,14808,14808,14809,14808,14808,14809,14808
14808,14808,14809,14809,14807,14808,14809,14809,14809,14808
14809,14808,14809,14809,14808,14809,14809,14808,14809,14808
14808,14809,14809,14808,14808,14808,14809,14808,14808,14808
14809,14808,14808,14809,14808,14808,14809,14808,14809,14808
14808,14809,14808,14809,14808,14809,14808,14809,14808,14809
19164,14808,14809,14808,14809,14808,14808,14809,14808,14809
14809,14809,14809,14809,14808,14808,14809,14995,16494,16494
16495,16495,16495,16874,14994,14801,14801,14805,14809,14618
14809,15180,16309,14808,14809,14809,14808,14808,14808,14809
14809,14809,14809,14809,14808,14809,14808,14809,14808,14809
14808,14809,14808,14809,14809,14808,14809,17468,14808,14809
14809,14809,14808,14808,14809,14809,14997,14808,14808,14809
14809,14807,14808,14809,14808,14808,14808,14809,15562,14808
14808,14808,14809,14808,14809,14809,14808,14809,14808,14809
14808,14808,14809,14808,14995,17071,17071,16499,14808,15180
14809,14808,14808,14808,14809,12554,11038,10850,10850,11799
12554,14808,14808,14808,14809,14808,14808,14809,14808,14809
14618,14808,14808,14809,14808,14809,14805,14809,14808,14809
